stage,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0
  7-9,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,4.48,1.57,0,0,0,0,3.87,0,1.84,5.74,0,0
 24-34,0,0,0,2.79,0,0,0,0,0,0,0,0,0,1.31,0,0,1.5,5.13,0,0,0,2.02,0,0,1.03,1.99,0.72,0
 36-46,0,0,0,0,2.75,0,0,0,0,0,5.08,2.16,0,0,0,0.71,0,2.59,0,4.08,0,10.04,0,0,0,0,0,0
 48-58,0,0,3.49,1.17,0,0,0,0,1.77,0,0,0,0,0.85,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.77,0.59,0,0.8,0,1.73,3.62,0.7,1.1,0,0,0,0,0,0,0.99,0,0,0,7.27,0,4.15,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.86,0.62,0,0,0,0,0,0.95,0,1.31,3.41,0.97,0,0,0,0,0.53,0,0,0,0
 84-94,0,0,2.61,0,0,0,0,0,0.73,0,0,0,0,3.33,0,0,0,1.68,0,0,0,0.67,0,0,0,0,0,0
 96-106,1.15,0,0.7,0.94,0,0,0,0,2.9,0,0,0,0,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.6,2.34,0,0,4.33,0,0.71,0,0,0,2.5,1.92,0,2.91,0,1.17,0,0,0,0.79,0,0,0,0,0,0.6
120,0,0,0,1.12,0,0,0,0,1.19,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0
