stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,23.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,0,3.78,0,3.45,0,0,0,0,0,7.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,19.33,0,11.96,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.88,0,0,1.06,0.61,0
 36-46,0,0,0,0,0,1.24,0,0,0.83,0,6.43,0,0,0,1.06,0
 48-58,0,0,0,0,0.9,0.55,0.99,0,0.74,0,5.07,0,0,0,4.74,0
 60-70,0,0,0,0.62,0,0,1.62,0,0,0,1.74,0,0,0,0,0
 72-82,0,0,0,0,1.1,0,2.55,0,0,0,2.45,0,0,0,0,0.56
 84-94,0,0,0,0.57,2.18,0.6,4.8,0,0.74,0,0.58,0,0,0,0,0
 96-106,0,0,0,0,5.46,0,3.5,1.77,2.86,1.13,1.11,0,0,1.13,0,0
108-118,0,0,0,0,0.72,0,3.04,2.24,1.71,0,4.34,0,0,0,0,0
120,0,0,0,0,0,0,2.45,0,0,0,0,15.75,0,0,0,0
