stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,86.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,60.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,483.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.7,0,0,0,20.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,120.8,0,0,0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.74,5.33,0,0,19.58,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.26,0.84,2.59,0.98,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.85,30.54,0,0,0,0,0,0,1.31,0,0,14.46,0,0,0,0,0
 24-34,0,0,5.75,0,1.37,0.66,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58,258.14,0,0.63,0,0,0,0,0,0,0,160.51,0,0,0,0,0
 36-46,0,0,0.69,0,1.92,0,0,36.18,0,1.39,0,0,0,0,0,0,0,4.2,0,0,9.91,0,0,4.96,1191.16,0,1.54,3.11,0,0,3.02,0,0,0,265.72,0,0,0,0,0
 48-58,0,0,2.22,0,8.49,2.22,0,156.07,0.43,5.63,0.56,36.46,0,0.44,0,0,3.23,0,0.86,0,34.28,0.59,0,4.56,2452.69,10.1,1.14,0.55,3.66,0,2.55,0,0,0,395.46,0,0,0,0,1.88
 60-70,0,0,0,0,10.77,0,0,695.67,0,4.61,5.44,45.52,0,0,0,0,0,1.16,0,0,73.89,0,0,4.44,4609.8,5.04,0,1.42,0,0,4.76,0,0,0,571.62,0,4.21,8.08,0,6.3
 72-82,0,0,1.98,0,21.02,8.89,0,1698.98,0,0,5.18,118.89,0.71,0,2.57,0,0,1.66,0,11.34,155.76,0,1.58,12.8,6485.21,0,9.3,0.84,0,1.4,3.79,0,4.04,0.77,682.47,0,33.36,2,2.95,0
 84-94,0,0,0.71,0,19.35,4.61,0,1324.34,0.56,0,3.98,61.34,1.57,1.27,0,0,1.88,0.66,1.22,0,140.54,0,7.4,13.22,3871.32,0,2.62,10.06,0,0,5.96,0,0.94,0,434.99,0.71,39.41,4.4,5.29,7.57
 96-106,0,0,6.04,0,30.08,18.27,0.92,1558.24,0,2.05,6.43,127.32,2.04,0,6.63,1.23,0,9.19,2.28,0,138.45,0,4.2,10.51,3850.44,0,3.11,4.22,0,0,8.25,0,0,0,141.91,0.83,25.2,2.64,1.17,0
108-118,0,0,1.5,0,27.01,2.78,3.08,2004.92,1.3,0.55,2.49,122.26,4.1,6.29,1.15,0.85,1.28,0.96,9.02,0,175.39,0,0,7.52,5412.54,1.92,5.76,15.78,0,0,2.45,0,1.62,0,215.68,1.31,6.24,3.36,5.5,0
120,0,0,1.85,0,45.27,7.53,13,1957.27,4.58,0,3.33,179.92,0,0,0,3.26,0,2.85,1.05,0,198.68,0,35.22,19.51,8796.92,0,2,18.54,0,0,13.5,0,0,0,395.73,0,17.18,1.1,0,26.81
