stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,104.97,3134.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.64,0,0,0,0,0,0,0,0,0,0
  5-6,163.04,4421.59,0,6.55,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,130.05,10.72,0,0,16.11,0,31.09,0,0,0,0,0,0,0,0,0,0
  7-9,101.31,169.68,0,132.16,0,0,485.96,0,0,0,0,0,89.86,0,0,0,0,0,0,0,0,0,0,0,4766.82,78.47,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,82.2,0,111.76,0,5.34,259.36,0,0,0,0,0,18.83,0,0,0,0,0,0,0,0,0,0,0,1702.25,86.27,0,0,552.89,0,3.07,8.94,91.48,0,3.87,9.42,0,0,0,0,0
 14-21,0,0,0,1.73,23.77,6.68,1.78,0,0,0,3.04,0.82,0,0,0,0.86,0,0,0,0,10.4,0,0,11.8,223.58,1.61,0,2.74,3.36,0,0,12.17,0.82,0,13.07,44.58,0,0,0,0,0
 24-34,0,0,0.8,2.1,12.27,0,47.34,0,0,1.24,14.48,1.29,0,0,0,0.61,0,0.71,0,4.27,43.65,0.71,0,14.37,614.33,1.41,0.84,5.58,0,0,4.27,0,0,0,2.87,119.5,0,0,4.79,0,0
 36-46,0,0,0,0,1.94,0,52.84,0,0,7.71,33.71,0,0,0,0,0.59,0,0,0,0,31.34,0,0,7.46,357.25,0,0.78,0.79,0,0,5.35,0,0.59,0,0,68.03,0,0,0.66,0,4.22
 48-58,0,0,0,0,2.99,0,84.85,0,13.79,3.94,41.96,0.37,0,0,0.47,0,0.39,1.72,0,2.66,68.59,0.88,0.56,10.79,257.08,2.12,2.55,1.62,0,1.2,2.72,0,0,0,0,88.4,0,1.89,0.93,0,3
 60-70,0,0,0,0,10.3,0,106.22,0,7.45,3.03,58.3,1.23,0,0,0,3.1,8.93,2.27,0,0,104.67,0,0.98,9.42,179.75,3.16,0,1.6,0,1.42,0.77,0,0,0,0,31.15,0,3.58,5.21,0,0
 72-82,0,0,0.68,0,2.61,2.53,43.13,0,0,0.7,27.37,0,0,1.6,0,0.63,1.29,0.95,0,0,78.25,0,1.01,11.54,102.78,2.3,0,9.19,0,0,4.4,0,4.52,0,0,12.49,1.64,0,12.31,1.99,0
 84-94,0,0,1.47,0,10.13,5.56,59.66,0,0.66,7.43,21.69,0,1.3,0,1.55,2.34,5.85,1.43,0,0,75.22,0,11.44,3.69,126.92,0,3.65,2.69,0,0,9.04,0,1.3,0,0,9.33,0,1.75,3.09,1.47,3.53
 96-106,0,0,0.89,0,6.68,20.81,49.33,0,0.88,2.72,33.13,1.39,0,1.53,1.3,0,0.59,2.23,0,0,61.48,2.99,3.42,10.13,65.24,2.16,1.07,8.75,0,0,9.13,0,0,0,0,1.8,0,1.34,3.16,4.84,1.21
108-118,0,0,0,0,12.56,2.3,26.52,0.92,0.69,7.7,26.48,0.45,0,0.99,2.58,3.13,0,0.43,0,0,79.63,0,2.87,4.04,67.83,0,1.62,2.19,0,2.72,5.22,0,0,3.18,0,6.36,1.21,3.18,6.36,5.37,8.35
120,0,0,0,0,2.84,0,35.43,1.26,2.33,5.33,26.2,0,0,1.54,2.66,0,0,1.6,4.74,0,102.21,0,4.87,14.49,44.82,1.29,0,0,0,0,3.42,0,0,0,0,3.56,0,0,4.83,1.93,0
