stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,145.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0
  5-6,10.74,91.47,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0
  7-9,14.41,6.31,0,0,0,0,4.54,0,0,0,0,0,0,0,0,56.64,0,24.17,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,0,11.56,0,0,0,6.66,0,0,0,0,166.94,0,89.9,0,0,35.43,0,0,0,0
 14-21,0,0,0.88,3.68,0,0,1.09,0,0,0,0,0,0,0,3.29,34.91,0.89,0,0,7.39,0,1.2,4.06,1.11,0
 24-34,0,0,0,0,0.76,0,2.04,0,0,0,0,0,0,1.54,0,23.11,0,0,0.71,0,0,0,2.98,3.9,0
 36-46,0,0,0,0,0,0,0.61,0,0,0,0,0,0,1.83,0.59,20.29,0,0,0,0,0,0,0,0.99,0
 48-58,0,0,0,4.67,0,0,0.88,0,0,0,0,3.44,0,2.5,6.67,34.85,0,0,0,0,0,0,0,0.74,0
 60-70,0,0,0,0,0,0,2.75,0.75,7.79,0,0,0,0,0,0,11.33,0,0,2.78,0,0,0,0,5.36,0
 72-82,0,0,0,0,0,0,0.71,0,2.11,0,0,0,0,0,0,10.33,0,0,0,0,0,0,0,0,1.12
 84-94,0,0,0,0,0,0,4.99,0.75,0,1.17,0,0.55,0,9.83,0.73,3.95,0,0,1.49,0,0,0,0,0,0
 96-106,0,0,0,0.74,0,0,4.92,0,0,0,0,0,0,0.79,0,1.18,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.52,1.31,0.58,0,0,4.14,0,0,0,0.51,3.94,0,9.26,0,0,0,0,0,0,0,0,0
120,0,0,0,4.31,0,0,0,0,0,0,0,0,0,2.33,4.94,9.11,0,0,4.37,0,0,0,0,0,0
