stage,blastomeres,epidermis,eye,fast_muscle,glial,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,276.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,137.72,0,0,0,0,0,0,0,6.44,0,10.17,0
  7-9,0,0,0,0,0,0,0,0,21.76,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.24,0,0,0
 14-21,0,0,0,0,0,0,4.38,0,0,0,0,0
 24-34,0,2.06,0,0,0,0,0,0,1.74,0,0,5.62
 36-46,0,0,0,0,0,0,0,0,3.71,0,0,3.82
 48-58,0,0,0,1.46,0,0,0,1.54,12.12,0,0,4.24
 60-70,0,0,0,1.9,0,0,0.9,1.26,4.46,0,0,0.65
 72-82,0,0,0,10.57,0,0,0.58,0,7.72,4.01,0,0
 84-94,0,0,17.26,1.45,0,1.7,1.51,0,3.55,0,0,0
 96-106,0,0,0.71,12.15,0,0,2.94,0,0,0,0,0
108-118,0,0.66,0.71,3.02,0,0,2.55,0,13.18,0,0,0
120,0,0,0,2.65,9.91,0,0,0,0,0,0,0
