stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.81,6.82,0,0,6.12,0,0,0,2.33,1.28,5.6,0,0,0,0,0,0,8.99,0,0,6.83,75.59,0.82,0.92,0,0,26.47,0,12.81,0.89,50.49,27.28,15.2,0,0,0,0,0
 24-34,0,1.05,0,11.93,0.83,0,22.89,404.56,2.23,0.69,6.27,0,23.28,1.36,1.1,0,0,0,0,27.73,0,0,116.88,341.06,0.63,0.75,0.64,0,37.05,0,3.08,3.4,215.03,83.68,66.62,0,0,8.99,0,0.63
 36-46,0,0,0.63,11.28,0,0,44.65,1554.55,2.59,1.97,15.7,0,0,0,0,0.74,0,2.63,1.37,27.61,0,0,127.7,368.56,3.83,3.72,0.59,0,35.9,0.65,0,3.56,433.49,4.97,51.88,0,0,2.53,0,9.03
 48-58,0,0,0,23.83,0.88,0,245.91,1295.19,13.27,3.85,46.9,0,2.76,1.43,0.46,0.83,5.06,14.18,12.81,63.88,0,2.73,75.2,592.78,2.89,4.74,4.06,0,64.23,0,0,1.07,370.31,0,112.43,0,0,8.94,0,28.08
 60-70,0,0,0,60.98,2,0,299.74,1040.56,4.41,0,50.43,0,3.33,7.02,0,0.93,0.61,0,17.48,96.04,0.73,6.97,169.05,443.65,8.12,9.29,0,0,51.83,0,0,0,234.51,0,65.27,0,0,39.5,0,8.93
 72-82,0,0.54,0,7.53,20.41,0,216.58,508.01,0.5,3.85,65.68,4.64,2.58,4.91,0,2.25,2.53,0,3.12,100.53,0,23.6,54.85,329.38,0,0.74,4.32,3.54,39.93,0,0,1.87,74.56,0,49.99,0.56,3.36,16.01,2.59,19.95
 84-94,0.62,4.58,0,13.2,43.77,0,130.26,407.13,4.93,4.84,46.99,0.57,0,1.99,0.95,0,0,1.35,1.55,92.6,2.88,7.06,48.52,210.59,2.17,0.66,6.8,0,130.37,0,0,0,99.16,0,11.92,0,2.87,1.24,1.66,10.6
 96-106,0,0,0,12.76,26.88,1.07,147.58,286.35,12.43,2.93,34.52,2.36,3.72,5.2,0.65,0,1.64,19.01,0,77.32,0,1.86,46.92,203.48,5.25,1.63,4.97,4.71,150.15,0,0,0,69.97,0,12.73,0,0,10.04,4.76,14.34
108-118,0,1.21,0,15.06,4.08,0,125,232.84,4.03,0.59,58.21,2.88,0,5.58,3.31,2.07,0,9.06,0,85.11,5.5,20.29,72.28,179.83,0,1.84,1.66,2.37,171.95,0,0,0.87,85.22,0,9.72,0,2.1,12.09,2.71,3.95
120,0,0,0,24.52,4.24,0,52.46,154.73,8.13,10.85,30.5,0,0,16.57,7.52,0,5.32,1.5,0,126.85,12.38,8.48,28.42,258.68,2.45,0,0,0,97.46,0,1.12,0,29.83,0,15.75,0,8.98,16.3,20.76,0
