stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,0,0.86,0,0,0,0.81,0,0,21.38,0.94,0,0,14.51,0,0
 24-34,0.67,0,0,12.23,0,0,10.75,0,0,0,2.47,0,1.02,134.3,0.61,0,0.65,24.85,0,0
 36-46,0,0.98,0,23.55,0,0,9.08,0,0,0,0.59,1.06,4.36,109.86,1.82,1.12,0,32.21,0,0
 48-58,0,3.78,0,31.37,0,0,15.74,0,0,0.49,9.96,0.81,0.57,60.47,0.7,0,0,16.44,0,0
 60-70,0,3.21,0,20.28,0,0,6.06,0,1.17,0,14.41,0,0,21.13,0,0.65,0,0.91,0,1.02
 72-82,0,0,0,3.04,0.49,0.75,12.81,0,0,0,8.88,1.01,2.14,30.54,0,2.46,0,0,3.65,0
 84-94,0,0.59,0,4.56,0,0,5.72,1.03,0,0,1.26,1.29,2.45,4,1.52,0,0,4.13,0,0
 96-106,0,0.77,0,1.34,0,0,5.54,0,0,0,2.32,0,0,5.45,0,2.63,0.82,0,0,0
108-118,0,0.46,0,7.44,0,0,7.55,0,0,0,10.45,0,2.16,17.55,0,0,1.41,0,0.41,0
120,0,1.61,6.06,12.66,0,0,20.21,0,0,0,15.29,0,0,19.87,0,16.47,0,19.23,0,0
