stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord
  3-4,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15
 24-34,0,0,0,0.73,0,0,0,0,0,0,0,2.45,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.35,2.9,1.14,0.57,1.15
 48-58,0,3.37,0,1.34,0.81,0.39,0.4,2.15,0,0,0,5.28,0,0,0
 60-70,0,0,0,0,0,0,0.57,0,0,0,0,2.57,0,0.56,0
 72-82,0,0,0,6.8,0,0,1.24,0,0,0,0,1.95,0,2.72,0
 84-94,0,0,0,0,0,0,0.59,0,0,0,0,8.81,0,0.78,0
 96-106,0,0,0,0,0,0,12.6,0,0,1.82,0,0,0,5.91,0
108-118,0,0,0.46,0,0,0,1.6,0,1.22,4.74,0,2.23,0,6.07,0
120,0,1.22,0,5.79,0,0,5.02,0,0,0,0,20.81,0,18.11,0
