stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,hatching.gland,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.28,0.81,0,0,0,0,0,0,0.92,0,1.82,0,0,0,10.37,0,39.09,6.32,4.17,0,0,0
 24-34,0,0,0,0,2.81,0,0,0,0,5.2,2.76,13.71,0,0,0.88,0,1.39,100.35,5.79,15.51,5.94,0,0
 36-46,0,3.11,0,0,9.46,0,1.2,0,0,4.4,1.11,8.4,0,0,0,0,2.03,106.38,0,4.63,1.31,0,7.75
 48-58,0,13.12,0,0,8.76,1.06,0,0,0,2.28,5.14,21.54,0,9.55,3.04,0,0.98,132,0,6.05,2.78,0,0
 60-70,0,0,0,0,2.6,2.24,1.15,0,2.45,0,3.39,24.6,0,0,0,0,0,77.46,0,2.46,1.24,0,0
 72-82,0,0,1.56,0,10.67,7.51,5.22,0,0,4.12,1.29,30.98,0,2.25,0,0,0.86,31.1,0,11.89,4.81,0,0
 84-94,0,1.48,0,0,2.08,8.37,11.26,0,0,2.67,4.13,20.19,0,0,0,0,0.64,41.44,0,0,5.41,0,0
 96-106,0,0,0,0,22.07,9.27,1.48,0,0,8.12,1.72,32.61,0,0,0,0,0,59.59,0,0,4.28,0.69,0
108-118,0,0,1.85,0,3.14,5.18,1.85,0,0,4,1.84,32.71,8.3,0,0,0,2.06,44.52,0,3.36,11.87,0,0
120,0,10.22,3.03,2.42,16.73,2.98,34.94,0,0,22.12,1.68,18.46,0,0,0,0,0,20.62,0,0,0,0,0
