stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,160.87,1699.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.15,0,0,0,0,0,0,0
  5-6,86.89,1562.15,0,0,0,0,0,0,0,0,0,0,25.82,0,0,0,0,0,0,0,0,0,54.18,0,0,0,22.48,155.39,0,0,0,0,0,0,0
  7-9,15.72,4.83,0,14.2,0,0,0,15.88,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0,329.14,0,0,0,120.03,11.55,0,0,0,0,0,0,0
 10-12,0,0,0,10.03,0,8.02,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.73,0,0,0,10.57,48.99,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,13.75,0,0,0,0,0,0,1.18,0,0,5.01,0,0,0,2.21,0,0,1.42,12.58,0,0,0.82,0,11.65,1.27,1.05,1.47,0,0,0,0
 24-34,0,0,0,0.65,4.95,0,0,0.72,0,0,0,5.13,1.76,15.28,0,0,0.75,0.69,0,14.91,0,0,10.06,0,0,1.91,0,17.16,0,0,0,2.23,0,0,0
 36-46,0,0,0,0,17.35,0,0,0,0,0,0,0.74,1.09,18.71,0,0,0.84,0,0,0,0,0,18.59,0,3.95,0.61,0,17.23,0,0,0,7.05,0,2.26,0
 48-58,0,0,0,0,9.34,2.36,0,1.7,0,0,0.98,0.38,0,36.29,0,0,1.92,0,0,0.8,0,0,27.87,0,0,0.61,0,24.41,0,0.74,0,1.65,0,1.24,0
 60-70,0,0,0,0,18.65,0,0,1.69,1.49,0,0,11.93,0,65.42,0.58,0,0.66,0,2.64,0,0,0,9.86,0,0,0,0,40.01,0,0,0,0,2.14,12.31,0
 72-82,0,0,0,0,40.52,1.16,0,9.35,1.99,0.84,3.5,5.95,0,36.28,0.52,0,1.05,7.1,1.23,1.67,0,0,10.09,0,0,1,0,50.82,0,2,0,0,11.2,11.64,0
 84-94,0,0,3.85,0,52.69,0,0,4.75,0.95,0,0,14.4,0,48.48,6.14,0,0,0,3.94,5.74,0,0.56,13.82,0,4.64,0.59,0,136.25,0,1.94,0,4.59,19.11,15.55,0
 96-106,0,0,2.41,0,109.44,0,0.8,24.79,1.79,8.54,4.68,22.4,0,78.01,8.02,3.46,2.45,3.05,7.18,12.03,4.05,0,35.23,0,2.48,0,0,192.44,0,1.09,0,0,31.1,12.85,0.91
108-118,0,0,0,0.49,103.17,0.47,0,6.7,2.94,0,7.47,13.52,0,66.49,9.13,0,0,1.1,7.37,10.87,0,0,18.9,0.44,2.61,3,0,170.98,0,0.63,0,1.58,11.45,9.72,0
120,0,0,7.28,0,127.97,0,0,13.55,0,0,0,11.6,0,106.55,11.73,0,0,0,5.1,2.09,0,3.79,13.82,0,0,0,0,188.28,0,0,0,0,12.69,13.45,0
