stage,blastomeres,endoderm,eye,fin_epithelia,glial,iridophores,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  5-6,42.51,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.97,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.65,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.15,0,0,0.9
 24-34,0,0.6,0,0,0,3.95,0,0,0,5.24,0,0,0
 36-46,0,0,1.62,0,0.68,21.45,0,0,0,15.67,0,0,0.96
 48-58,0,0,1.14,7.42,0,26.72,0,0.47,0,4.63,0,0.71,1.48
 60-70,0,0,18.53,0,0,88.83,0,0,0,5.46,0,0,1.15
 72-82,0,0,0.65,0,0,89.55,0,1.25,0,3.48,0,0.67,0
 84-94,0,0,10.73,0,0.73,75.47,0,0,0,13.61,0,0,0
 96-106,0,0,5.63,0,0,107.74,0,0,0.62,10,0,1.49,0
108-118,0,0,0,0,1.35,150.05,0.74,0,0,3.17,0,0,0
120,0,0,0,0,0,96.29,0,0,0,4.52,0,0,0
