stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,gut,heart,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 10-12,0,0,16.01,0,0,0,0,0,0,0,0,0,0,0,22.81,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,12.71,0,0,0
 24-34,0,1.87,0,0,0,0,0,0.86,0.7,0,5.01,0.95,0,0,1.05,0,12.76,0,0,0
 36-46,0,1.35,0,0,0,0,0,0,0,0.86,3.6,0,0,1.06,9.52,0,10.97,0,0,0
 48-58,0,0.41,0,0.46,0,0.83,0,0,0,0,6.99,0,0.84,0,1.82,0,9.01,0,0,1.8
 60-70,0,0,0,4.6,0,0,3.66,0,0,0,0,0,0,0,1.03,0.84,18.32,0,0,0
 72-82,0,4.33,0,0,0,0,2.63,0,0,0,0.59,0.56,0,0,1.15,0,22.72,0,0,0
 84-94,0,13.89,2.89,0,0,0,4.32,0,0,0,0,0.71,0,0,17.78,0.78,55.95,0,0,0
 96-106,0,21.75,0,0,0,0,3.52,0,2.91,0,1.17,0,0,0,1.91,0.67,53.54,0,0,0
108-118,0,26.89,0,1.27,1.65,0,4.23,0,2.6,0,0,1.22,0,0,10.52,0,74.08,0,1.13,0
120,0,16.78,2.67,0,3.98,0,1.35,0,13.32,0,0,1.46,0,0,0,0,88.03,7.86,0,0
