stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,78.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0
  5-6,0,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.5,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.26,0,0,0,30.82,0,0,3.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.88,19.06,0,2.29,0,0,0,0,0,0,1.88,0,0,0,0,0,4.3,3.7,0,0,4.74,7.57,138.78,0,0,0,0,0,0,1.72,7.1,2.12,0,0,35.34,0,0
 24-34,0,0,0,0,3.08,5.75,0,4.37,0,0,1.02,1.05,0,0,26.41,0,1.56,1.14,0,0,14.84,123.79,0,0.89,30.24,140.28,236.84,0,0,0,2.91,5.46,1.6,0,0.65,1.68,0,0,280.34,0,4.38
 36-46,1.07,0,0,0,8.12,0,0,2.94,0,4.2,0.87,0.98,0,0,40.32,0,0,0,0,0,90.22,355.28,0.58,4.84,46.26,167.92,189.94,0,0.63,0,1.69,0,0,0,0,5.24,0,0,362.15,0,19.37
 48-58,0.58,0,0,0,0,0,0,17.77,0,1.68,20.84,9.3,0,0.37,38.69,0.57,0.5,11.43,0,0,73.37,435.98,0,22.02,51.09,164.73,115.29,0,0.37,0,4.29,7.07,0.92,0,0,6.46,0,1.15,287.98,0,28.43
 60-70,0,0,0,0,1.42,10.5,0,14.67,0,0,32.7,28.21,0.85,3.63,12.43,4.01,0,8.48,0,0,54.85,616.94,0.85,55.51,31.09,154.48,71.91,0,0,0,42.04,1.1,3.55,0,0,12.77,0,19.21,140.66,1.25,77.7
 72-82,0,0,0,0,11.47,0,0,23.09,4.13,0,42.3,101.58,8.85,1.04,17.13,0,0,15.27,3.28,0,86,800.73,1.59,132.11,63.47,162.26,51.3,0.54,0,0,47.29,0.72,0,0,0,5.31,0,48.5,297.05,31.9,84.48
 84-94,0,0,1.14,0,4.95,0,0,59.63,1.31,1.64,38.54,148.78,7.92,1.23,24.79,4.83,0,42.44,0.73,1.61,148.1,611.22,1.27,137.94,38.1,145.92,102.44,0,0,0,86.4,1.14,0,0,0,4.76,1.12,30.14,238.69,41.87,36.26
 96-106,2.68,0,0,0,9.87,8.97,0,43.49,2.37,10.55,33.55,283.37,12.32,0,16.98,2.31,2.71,53.92,5.71,13.92,78.51,939.62,2.99,123.86,47.89,183.95,49.5,3.93,0.6,0,121.74,0.57,0,0,0,9.26,0.69,47.1,265.1,60.26,150.4
108-118,0.45,0,0,0,18.3,1.28,11.51,21.49,0.76,2.32,22.17,254.05,19.31,0,13.88,8.54,0.68,88.75,2.11,1.03,144.53,965.77,0,135.21,60.93,246.25,75.14,0,0,0,233.21,0,0.67,0,0,6.35,1.86,25.29,277.22,31.59,99.38
120,0,0,0,0,12.11,6.81,0,16.35,0,6.38,2.89,193.21,0,0,49.16,9.41,0,50.26,0,20.54,114.98,1007.38,0,195.07,61.02,126.88,154.99,8.07,0,0,238.4,1.89,0,0,0,11.73,1.27,42.49,195.17,79.02,46.32
