stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,605.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,1130.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0
  7-9,14.36,98.25,0,22.68,0,0,483.5,0,0,0,0,36.17,0,0,0,0,0,0,0,0,0,0,2260.44,13.14,0,0,189.46,0,13.45,0,12.75,0,0,0,0,0,0,0
 10-12,0,23.82,0,0,0,0,136.49,0,0,0,0,16.59,0,0,0,0,0,0,0,0,0,0,925.1,4.45,0,0,67.71,0,0,0,7.85,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.22,0.95,7.08,0,0,0,0.82,0,0,0,0,0,0,0,3.71,0,0,4.73,48.02,0,0,0,0.95,0,9.21,4.79,0,1.5,18.36,14.35,0,0,0,0
 24-34,0,0,0,0,3.67,1.9,33.98,0,0,0,0,0,2.09,0,2.12,1.45,0,0,8.93,0,0,6.54,70.08,0,0,0,0,0,4.92,0,1.26,0,3.18,14.71,0,0.71,0,1.93
 36-46,0,0,0,0,0.91,0,80.22,0,0,8.91,0,0,0,0,0,0,0,0,22.21,0,0,2.24,26.81,0,1.3,1.08,0,0,1.47,0,0,0,0,0.84,0,0,0,0
 48-58,0,0,0.42,0,1.29,0,284.45,0,1.93,8.82,0,0,0,0,0,0,0,0,12.34,0,0,1.24,61.93,0,0.68,0.51,0,0,11.15,0,0,0,0,8.38,1.69,0,0,0
 60-70,0,0,0,0,2.97,0,465.49,0,0,0.78,0,0,0,0,0,0,0,0,11.88,0,0,3.46,67.27,0,0,6.8,0,1.37,1.6,0,0,0,0,1.68,0,0,0,0
 72-82,0,0,0,0,2.78,0,773.34,0.74,0,15.28,0,0,0,0,0,0,1.4,0,23.41,0.73,2.92,1.18,66.34,0,1.18,0,0,0,0.62,0,0,0,0,1.68,0,0.71,0.86,0
 84-94,0,0,0,0,2.83,0.63,513.97,0,0,10.47,2.18,0,0.82,0,0.68,0.62,0,0.73,26.71,0,2.03,2.9,36.57,0,2.48,0,0,0,7.21,0,0.74,0,0,1.85,0,0,2.24,0
 96-106,0,0,0,0,2.01,0,410.58,1.33,0,13.94,0.81,0,0,0,0,0,0,0,32.89,0,1.06,1.34,30.99,2.03,0,2.81,0,1.57,0.57,0,0,0,0,0,1.65,5.57,0.8,0.85
108-118,0,0,0,0,1.25,0,334.28,0,0.68,12.55,0.54,0,0,0.44,0.55,0,0,0,43.22,0,1.33,1,48.26,0.51,0,0,0,1.8,0.8,0,0,0,0,2.21,2.1,1.52,2.32,0
120,0,0,0,1.28,3.47,1.33,219.62,0,6.63,0,0,0,0,0,0,0,0,0,40.6,0,0,2.96,53.02,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0
