stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.46,824.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.83,0,0,0,0,0,0,0,0,0,0
  5-6,60.77,621.63,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,42.19,8.7,0,0,9.43,0,42.01,0,0,0,0,0,0,0,0,0,0
  7-9,67.01,91.35,0,67.02,0,0,85.22,0,0,0,0,0,67.69,0,0,0,0,0,0,0,0,0,0,0,1205.02,97.28,0,0,399.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.19,35.47,0,87.42,0,16.34,183.97,0,0,0,0,0,15.98,0,0,0,0,0,12.78,0,0,0,0,0,1558.28,117.1,0,0,531.28,0,0,0,100.96,0,6.54,0,0,0,0,0,0
 14-21,0,0,0,2.99,24.07,5.02,11.75,0,0,0,2.79,2.86,0,1.52,0,0,0,0,0,1.75,17.21,0,0,8.61,167.2,11.92,1.03,1.74,3.98,0,4.61,11.19,3,2.15,27.25,69.04,0,0,2.73,0,0
 24-34,0,0,1.23,2.24,22.6,2.2,43.37,0,0,2.39,14.79,0,0,0,1.61,0,0,2.06,1.27,0,79.83,1.32,0,24.27,758.07,2.11,9.66,2.91,0,0,10.9,0,2.24,0.78,6.5,163.48,0,0,15.46,0,4.27
 36-46,0,0,0.95,0,10.13,4.26,145.8,1.82,11.74,1.93,72.17,0,0,3.01,5.76,0,0,0,0,4.88,114.3,0.81,5.08,20.37,1322.99,1.15,16.72,1.46,0,0,22.44,0,0,0,3.65,271.96,0,0,15.33,0,2.22
 48-58,0,0,0,0,17.94,1.35,254.18,0.73,0.5,4.97,156.14,0,0.57,3.12,15.31,1.82,1.69,0.73,0.85,17.37,130.22,0,25.19,22.34,1199.76,2.23,10.36,2.98,0,0,8.24,0,0.47,0,0,266.29,0,3.29,12.5,0,7.76
 60-70,0,0,1.71,0,11.3,0.69,289.15,0.66,4.27,4.3,127.47,0.99,0,3.04,3.48,0,1.63,2.02,0,2.31,191.38,1.01,7.08,28.82,882.18,8.45,15.81,5.29,0,1.81,35.57,0,0,1.58,0,132.53,0.84,5.61,26.21,1.31,18.68
 72-82,0,0,1.04,0,20.09,9.86,388.95,0.65,5.02,6.05,181.9,3.01,0,9.65,9.9,2.29,0,4.09,0,1.79,262.73,4.97,9.49,10.24,1282.36,0.52,15.61,9.93,0,0,15,0,3.11,0,0,70.33,3.44,6.75,26.69,3.44,24.38
 84-94,0,0,1.15,0,30.03,5.58,298.84,1.72,6.09,7.09,151.34,3.96,0,4.15,18.45,4.79,3.11,8.4,2.07,5.41,221.04,3.56,22.28,22.09,771.92,0,13.36,9.73,0,4.73,50.24,0,3.02,0,0,80.67,4.96,8.39,39.85,8.9,23.83
 96-106,1.12,0,0,0,28.1,45.14,159.92,0,0,5.6,156.92,13.61,0,8.63,40.66,3.61,2.65,4.78,0,0.68,217.57,3.96,11.48,17.38,516.38,2.63,15.05,10.54,0,3,39.91,0,0.89,0,0,27.35,5.31,3.75,24.95,9.39,4.88
108-118,0,0,1.03,0,34.74,14.97,143.41,1.19,11.03,11.18,136.16,7.32,0,1.87,20.88,7.34,6.27,3.36,1.99,0.72,164.74,1.84,9.56,17.51,594.22,2.12,8.32,15.61,0,9.78,35.46,0,0.42,0,0,31.21,2.43,6.64,38.1,4.46,16.98
120,1.19,0,0,0,37.86,0,186.7,7.37,2.59,0,128.9,22.18,0,5.85,20.82,5.76,4.15,4.88,1.84,0,365.07,0,28.55,12.67,498.69,3.48,4.06,19.96,0,32.58,19.86,0,0,0,0,48.63,3.57,5.78,49.84,33.33,4.83
