stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature
  5-6,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,35.65,0,12.38,0,0,0,0,0
 10-12,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,51.95,0,4.37,0,0,0,0,0
 14-21,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0.95,1.34,0,0,0,2.05,0,0,5.26
 24-34,0,0,0.64,0,0,0,0,0,0,0,1.39,4.68,0,1.27,3.81,0,0,0,0,0,0,10.74
 36-46,0,0,0,0,0.94,0,0,0,0,0,0,2.65,0,0.59,7.1,3.1,0,0,0,0.97,0,2.42
 48-58,0,0,0,0,0.46,0,0,0,0,0,0,0.57,0,0,31.42,0,0,0,0,2.57,0,0.61
 60-70,0,0,0,0,13.74,0,0,0,0,0,0,0.64,0,0,18.03,0,0,0,0,0,0,1.73
 72-82,0,0,0,0,0.87,0,0,1.68,0,0,0.67,2.47,0,0,21.44,0,0,0,0,0,0,0.79
 84-94,0,0,0,0,0.67,0,0,0,0,0,0,8.24,0,0,8.06,0.71,0,0,0,0,3.4,1.46
 96-106,0,0,0,0,2.07,0,1.02,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0
108-118,0,0,0.49,0,0,0.5,0,0,0.75,2.38,0,1,0,0,11.52,0,0,0,0,1.83,0,0
120,0,0,2.62,0,6.72,0,0,0,0,0,0,0,0,0,8.61,0,0,1.13,0,0,0,0
