stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord
 14-21,0,0,1.19,0,0,0,0,0,0,0,0,0,0,1.35
 24-34,0,0,0,0,0,0,0,0,0.85,0,1.9,3.86,0,0
 36-46,0,0,0,0.62,0,0,0,0,0.71,0,2.29,2.64,0,0
 48-58,0,0,0,0,0.54,0,0.44,0,0,0.48,0,0,0,0
 60-70,0,0,0,1.57,5.34,0,0,0,0,0,0,0,0,0
 72-82,0,2.4,0,0,0,0.5,0,0,0.97,0.61,0.62,1.29,4.35,0
 84-94,0,0,0,0,0,2.19,0,13.5,0,0,1.06,0,7.23,0
 96-106,0.69,0,6.35,0,0,15.87,0,0.65,2.31,0,3.2,5.65,5.67,0
108-118,0,1.92,0.56,0,3.06,13.2,0,0,5.58,0,0,1.44,4.86,0
120,0,0,0,0,0,36.24,0,4.02,0,0,1.66,0,1.04,0
