stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,133.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.6,635.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,0,0,6.24,0,14.38,0,0,0,0,0,0,0,0,0,0
  7-9,17.21,31.66,0,41.31,0,0,66.56,0,0,0,0,0,23.72,0,0,0,0,0,0,0,0,0,0,0,607.81,21.6,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,35.73,0,34.79,0,0,109.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051.4,40.27,0,0,311.46,0,0,0,36.79,0,20.01,0,0,0,0,0,0
 14-21,0,0,0,0.85,41.51,7.15,11.96,0,0,0,7.11,0.97,0,1.66,0,0,0,0,0,0,19.68,0,0,9.23,200.83,5.09,0.85,2.63,6.49,0,2.31,45.99,2.66,3.86,47.94,65.66,0,0,2.23,0,0
 24-34,0,0,0.6,0.76,7.54,0.96,37.2,0.91,1.14,0.89,7.04,1.81,0,0,0,4.83,0,0,0.68,2.52,30.54,0,0,14.08,335.3,6.69,3.05,1.59,0,0,15.44,1.59,7.77,2.41,3.29,66.42,0,0,17.88,0,0.63
 36-46,0,0,0,0,1.91,0,53.93,1.75,0,0,9.77,0.72,0,3.26,0,0,0,0.77,1.51,4.02,26.65,0,1.27,14.28,264.52,1.12,1.8,3,0,0,12.58,0,3.21,0,0,55.79,0,0,4.1,0,0
 48-58,0,0,0.44,0,4.91,0,86.62,1.02,0,1.12,24.84,0,0,0.87,0,0.4,2.2,1.99,1.61,0.87,47.12,0.42,0.55,8,183.87,0,1.36,0.37,0,0,10.71,0,0.74,0,0,29.54,0,0,3.34,0,0.99
 60-70,0,0,0,0,11.26,0.61,114.25,0.64,3.18,1.75,20.31,0.69,0,0,0,4.76,0.81,1.26,0,5,63.76,0,1.11,4.64,144.24,1.17,3.17,0,0,1.08,5.56,0,0,0,0,22,0,0,0,0,3.09
 72-82,0,0,0,0,2.79,0,63.71,0,0,4.18,16.87,4.82,0,0,3.6,0,1.15,4.52,0.57,0,42.9,0.92,0.72,14.47,105.62,0,0,0.55,0,0,11.68,0,0,0,0,10.91,1.55,1.01,4.46,0,16.01
 84-94,0,0,0.84,0,9.86,0,38.44,0.75,0.76,1.84,18.51,2.53,0,0,5.48,3.99,0.76,0.65,0,0.83,67.38,0.76,1.27,8.42,76.5,0.65,0,5.24,0,0.57,12.85,0,0.94,0,0,4.08,0,0,1.11,0,0
 96-106,0,0,2.29,0,9.07,0,77.47,0,0.57,2.8,19.96,2.5,0,0.73,1.23,3.67,1.14,1.91,0.93,0.69,57.89,0,3.52,6.14,100.35,0,4.34,7.54,0,0,11.76,0,0.87,0,0,2.29,0,1.54,3.14,0,0
108-118,0,0,0.57,0,9.3,1.27,58.81,1.32,1.71,1.81,51.59,2.47,0,0,4.44,4.79,2.77,1.14,1.52,0,75.33,1.41,1.19,9.24,148.15,0.77,2.68,1.75,0,2.26,11.69,0,2.25,0,0,5.71,0,2.45,9.71,0.65,5.31
120,0,0,0,0,7.04,1.25,43.32,0,7.62,1.67,15.23,6.94,0,0,14.93,0,1.43,2.64,5.31,0,73.44,0,0,3.33,178.42,0,0,2.09,0,16.5,14.44,0,0,0,0,3.5,0,3.24,1.15,0,0
