stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.09,53.87,53.29,42.67,10.2,0,0,0,0,38.73,0,0,0,0,0,0,6.47,40.59,1.02,0,19.01,72.38,6.52,0,2.6,23.98,0,3.12,1.53,39.83,121.38,0,12.28,66.76,0,0,0,0,3.64
 24-34,0,0,16.06,15.26,0.68,16.88,0,0,0,0,3.08,3.44,0,0,0.85,0,1.43,5.55,65.3,0,2.04,18.26,197.97,1.6,2.31,8.88,0,0.99,1.94,0,0,3.9,0,2.51,83.74,0,0,0,0,5.67
 36-46,0,0.95,0,17.32,0,26.94,1.36,0,0,2.57,3.21,0.99,0,0,0,0,0.84,0,109.18,0,19.29,11.47,341.59,0,0.66,0.85,0,2.32,1.7,0,0,6.73,0,0,201.88,0,2.73,0,0,0
 48-58,0.39,1.34,0.6,13.37,0,187.74,1.72,4.63,0,3.35,0,0,0,0,0,0,0,0,203.61,0.4,41.12,18.22,697.37,0,0.39,14.92,0,4.33,0,0,0,0.4,0,0,215.21,0,1.13,0,0,0
 60-70,0,4.18,0,2.39,0,993.81,3.67,0,8.15,22.82,0.65,0,0,0,0,0,1.41,0,286.33,0,54.22,15.53,1151.34,0,0,7.54,0,0,4.64,0,0,0,0,0,199.22,0,13.88,0,4.12,4.96
 72-82,0,52.38,0,4.87,0.86,877.81,0.55,0.5,0,67.33,1.19,0,0,2.01,0,0,1.08,0,352.84,0,51.85,22.45,1593.07,0,0,22.37,0,0,0,0,0,0,0,0,120.97,0,20.72,1.09,23.56,2.9
 84-94,0,42.27,0,6.98,0,516.83,0,0,1.88,38.21,7.97,1.27,1.68,0.68,0,0,0.83,0,257.17,0,68.68,23.24,953.03,0,1.04,33.79,0,0,0,0,0,1.44,0,0,109.09,0,25.88,0.6,38.76,0
 96-106,0,61.77,0,19.14,4.14,421.6,0.87,0,0,45.49,5.62,1.52,0,0.86,0.81,1.42,26.56,0,227.1,0,30.73,21.05,827.95,0,2.19,29.98,0,0,0,0,0,1.43,0,0,40.32,1.68,12.99,0,29.16,2.41
108-118,0,44.08,0,9.58,0,602.45,1.15,0.45,0,63.01,3.27,1.1,1.95,0,0,0,3.35,0,261.24,0,22.93,7.66,889.42,0,0,15.04,0,2.11,0,0,0,0.86,0.68,0,43.55,0.68,9.9,0,18.63,0
120,0,19.5,0,7.33,1.69,321.58,0,0,0,54.52,3.16,0,0,0,4.88,0,0,0,143.4,0,52.16,8.56,981.25,0,0,17.64,0,0,0,0,0,3.04,0,0,37.82,0,5.42,0,6.76,8.45
