stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,0,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0
  7-9,4.07,0,0,38.73,0,0,0,0,0,0,0,0,0,0,0,0,40.52,0,0,0,0,0,0,0
 10-12,0,0,0,35.96,0,0,0,0,0,0,0,0,0,0,0,0,49.86,0,0,6.94,0,0,0,0
 14-21,0,0,0,0,9.92,0,0,0,0,0.85,0,0,0,0.99,0,1.53,6.18,0,4.88,0,0,0.92,6.45,0
 24-34,0,0,0,0,0,0.99,0,0,0,0,0,0,8.43,0,0,0,11.74,1.91,20.45,0,0,0,0.71,0
 36-46,0,0,0,0,0,0,0,0,0,1.9,0,0,12.58,0,0,0,15.35,0.7,17.55,0,0,0,2.2,0
 48-58,0,0,0,0,0,0.44,0,0,0,0,2.78,0,9.88,0,0,0,6.3,0,19.07,0,1.17,0,0.95,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0.93,0,0,8.86,0,71.84,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.63,0,25,1.75,0,0.67,16.77,0.49,72.78,0,0,0,0,0.77
 84-94,0,0,0,0,0,1.79,1.79,0,1.12,0,0,0,21.02,0.86,0,0,10.9,0,56.16,0,0,0,0,2.93
 96-106,0,0,0,0,1.41,0,0,1.7,0,0,0,0,47.68,0.79,2.17,0,8.64,0,88.22,0,0,0,0,0
108-118,0,0,0,0,2.27,8.2,0,0,0,0,1.71,0.55,31.29,7.98,4.77,0,9.12,0,118.95,0,0,0,0,0
120,0,0,2.96,0,1.69,0,0,1.34,0,0,3.13,0,43.69,7.79,0,2.07,28.29,0,195.33,0,0,0,0,0
