stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.11,779.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.99,0,0,0,0,0,0
  5-6,9.55,201.79,0,0,0,0,0,0,0,0,0,0,0,0,0,24.21,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0,4.04,0,0,12.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,4.8,0,0,0,0,0
 14-21,0,0,1.85,1.57,0,0,0,0,0,0,0,0,0,0,0,26.49,1.55,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.67,0.8,0,0,0,0,0,3.07,0,0.78,0,1.91,0,62.47,23.92,0,0,0,0,0,1.6,0,0,0,0
 36-46,0,0,1.42,0.61,0.7,0,0,0,0,0,0,0,0,6.84,0,73.9,25.69,0,0,0,0,0,0,0,1.35,0,0
 48-58,0,0,2.77,0.45,3.17,0,0,0,2.62,0.55,0,1.01,0,4.41,0,63.79,6.12,0,0,0,0,0,1.96,0,1.78,0,0
 60-70,0,0,0,1.02,0,0,0,0,13.27,0,0,2.01,0,11.85,0,100.38,16.76,0,0,0,0,0,3.16,0,1.64,0,0
 72-82,0,0,0,0,20.88,0,0,2.28,34.55,0,0,4.66,0,21.34,0,118.66,12.44,7.79,0,0,0,0,4.98,0,0,0,3.06
 84-94,0,0,0,0.56,14.78,0,16.16,0,16.24,0,0,4.26,0,8.35,0,72.82,28.18,4.58,0,0,0,0,3.42,0,0,0,0
 96-106,0,0,2.22,4.33,6.89,0,7.66,0,40.08,0,0,8.63,0,12.07,0.79,72.02,15.15,14.31,0,2.65,0,0,0,0,0,0.68,0
108-118,0,0,0.43,0.65,9.69,0.42,2.27,0,35.46,0,1.25,3.1,0,13.36,0,100.1,17.52,0.87,0,0,0.7,0,0.42,0.67,0,0,0
120,0,0,0,0,17.52,0,0,0,38.12,0,0,11.58,6.26,0,0,144.86,5.75,7.68,0,0,0,0,11.59,0,0,0,0
