stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,96.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.52,0,0,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.62,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.43,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.46,0,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.75,0,0,1.77,0,0,0,0,0,0,0.82,0,0,0,0,5.8,0,0,1.94,46.04,1,0,0,0.82,0,8.45,0,1.83,0,1.23,9.95,0,0,0,0
 24-34,0,0,0,1.43,0,0,9.1,0,0,0,2.53,1.39,0,0.7,0,1.83,0,0,2.19,0,0,2.36,45.12,0,0,0,0,0,3.03,0,0,0,0.86,15.38,0,0.81,0,0
 36-46,0,0,0,4.66,0,0,10.42,0,0,1.17,6.68,0,0,0,0.56,0,0,0,4.14,0,1.66,1.15,39.47,0,2.22,0,0,0,2.74,0.81,0,0,0,12.8,0,2.35,0,0
 48-58,0,0,0,0.9,0,0,11.72,0,0.54,0,2.95,0,0,0,0,0.95,0,0,9.52,0,0,0.43,27.27,0,0,0,0,0.47,1.45,0,0,1.57,0,9.52,0,0.47,0,1.69
 60-70,0,0,0,1,0,0,33.77,0,0,9.08,11.48,0,0,0,0,0.66,0,0,20.95,0,0,0.72,45.53,0,0,0,0,0,1.57,0,0,2.85,0,10.6,0,0,0,0
 72-82,0,0.54,0,0,0.59,0,28.44,0,0,1.07,11.18,0.67,0,0,0,0.64,6.16,7.54,36.4,0,1.03,2.76,57.13,0.53,0,1.41,0,0,2.54,0,0,6.11,0,4.63,7.07,0,1.66,0
 84-94,0,0,0,2.39,10.11,0,32.11,0,0.62,0.59,20.99,1.71,0,0,1.02,0,0,0,38.9,0.89,3.74,0,35.36,1.17,0,3.03,0,0,0.6,0,0,4.46,0,7.23,5.32,0,0,0
 96-106,0,0,0,0,4.69,0,40.43,0,9.05,2.96,14.28,0.89,0,1.67,0,0,9.08,0,28.71,1.69,0,1.12,29.68,0,0.63,3.47,0,0,3.09,0,0,3.21,0,5.17,3.23,3.32,0,0.89
108-118,0,0,0,1.71,2.36,0.46,37.06,0.76,0.52,0,31.09,1.21,3.66,0,0,0,0,0,30.94,0,0,3.89,57.29,0.44,4.18,0,0,0,2.63,0,0,7.84,0,10.73,6.89,0,4.7,2.43
120,0,0,0,3.11,8.83,0,23.52,0,1.03,1.67,44.67,1.18,6.92,0,0,0,1.84,0,46.65,0,2.08,9.29,93.32,2.06,0,8.38,0,0,4.91,0,0,9.11,0,0,0,0,7.78,0
