stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,211.1,3122.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.2,0,0,0,0,0,0,0,0,0,0
  5-6,88.21,875.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.54,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.76,3.7,0,0,35.67,0,0,49.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.77,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.55,16.99,0,0,40.98,0,0,10.34,0,3.26,0,0,0,0,0,0,0
 14-21,0,0,0,3.84,16.21,4.69,0,12.19,0,0,0,6.77,2.01,2.74,0,0,0,0,0,0,12.58,0,0,2.91,129.99,1.89,1.51,0.82,0.92,0,0,2.51,14.96,0.82,9.3,57.44,0,0,0,0,0
 24-34,0,0,1.85,0.77,11.26,0,0,27.52,0,0,2.2,11.12,2.02,1.01,0.88,1.97,0,2.87,0,2.6,33.77,2.98,0,23.85,387.74,0.7,6.93,8.1,0,0,0,0,0,0,3.61,107.11,0,0,1.34,0,0
 36-46,0,0,0,0,3.1,0,0,51.21,0,0,5.24,26.81,0,1.39,1.4,0,0,1.39,1.72,14.33,56.66,0,3.4,11.55,369.83,0,21.14,1.57,0,0,0.84,1.52,0,1.81,0,133.24,0,0,6.05,0,3.28
 48-58,0,0,0,0,4.26,0,0,86.62,0,0.42,7.65,44.93,0,7.14,1.55,0,0.54,0.78,0,8.7,80.16,0,1.87,26.56,426.16,0,25.2,3.27,0,0.59,0.5,0,0,0.53,0,91.28,0,0.61,2.58,0,6.16
 60-70,0,0,0,0,11.86,2.91,0,258.97,0.56,1.03,12.17,73.88,0.62,0.58,7.71,5.07,0.98,1.02,5.17,8.75,174.5,3.5,5.63,8.16,432.29,0,29.59,2.43,0,2.4,0,0,0,0.58,0,49.86,0,1,7.13,0,0
 72-82,0,0,1.65,0.51,8.6,3.98,0,306,1.57,0,21.55,143.35,2.25,0,5.79,0,2.06,1.13,3.84,0.99,199.38,1.2,3.94,18.13,506.77,0.73,25.99,10.25,0,2.19,0,0,0,1.27,0,49.96,1.21,4.91,10.45,7.51,0
 84-94,0,0,1.8,0,21.15,8.95,0,321.81,0.56,4.22,11.53,120.35,8.14,0.78,19.82,1.04,3.44,2.01,7.98,7.88,202.6,3.24,0.75,15.25,447.85,0,44.32,8.57,0,3.59,0,0,0,0.67,0,44.22,1.77,9.27,13.61,10.55,0.74
 96-106,0,0,7.19,0,8.51,15.99,0,328.13,0,1.59,14.62,115.5,6,3.34,23.75,1.36,2.08,4.83,1.62,1.03,172.34,0.81,2.02,12.88,417.47,0,68.8,17.62,0,8.49,3.73,0.7,0,1.25,0,19.2,5.27,4.3,34.51,7.48,3.35
108-118,0,0,6.16,1.32,16.99,6.48,1.47,256.75,0.49,0,6.16,187.2,3.02,0,16.2,1.73,2.21,5.38,4.47,10.21,220.74,3.63,28.72,12.06,495.41,0.44,35.58,15.88,0,6.33,2.48,0.42,0,1.91,0,21.03,2.78,1.87,25.53,12.78,0
120,0,0,0,0,6.89,3.9,0,249.3,0,17.06,30.29,133.73,8.16,3.17,9.43,0,3.12,9.79,0,1.33,143.82,0,22.7,18.65,786.13,0,49.74,13.71,0,6.01,0,0,0,0,0,11.47,0,0,21.2,24.65,0
