stage,epidermis,eye,lateral.line,mesenchyme,muscle,neural
 14-21,0.9,0,0,0,0,1.48
 60-70,0,0,0,1.63,0,3.14
 72-82,0,0,0,0.66,0,1.37
 84-94,0.7,0.77,1.03,0.87,1.74,0
 96-106,0,0,0,0.72,0,0
