stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.92,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.67,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.47,0,0,14.86,0,0,5.28,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,5.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,103.2,8.28,0,0,0,0,0,0,48.47,0,0,0,0,0
 24-34,0,0,2.79,1.35,0,10.09,0,0,0.69,0,0,3.09,0,0,0,0,0,0,0,4.24,0,0,4.15,1095.33,74.97,0,0,0,1.4,0,0,158.24,0,0,0,0,0
 36-46,0,0,0.98,0,0,196.6,0,0,0,0,0,0,1.57,0,0,4.15,0,0,4.67,1.72,0,0,1.5,4008.73,106.53,0,0,0,0,0,0.72,586.71,0,0,0,0,1.13
 48-58,0,0,0,19.05,0,572.2,1.63,3.45,0,35.21,0,0,0,0.61,0,3.42,0.77,0,20.52,31.4,0,1.17,2.37,5637.82,50.42,0.37,0,0,6.22,0,0,614.11,0,0,0,0,22.01
 60-70,0,0,0,1,0,887.21,0,0,2.8,36.79,4.11,0,0,0,0,0,0,0,13.81,26.73,1.27,0,8.37,7003.66,34.11,9.25,0,0,5.06,0,0.73,721.69,0,0,0,0,15.51
 72-82,0,0,2.21,16.59,3.74,777.53,1.29,0,0.7,38.98,0.86,0,0.5,2.03,0,10.81,0,0,38.57,55.11,0,0,0,5160.05,51.59,0,0,0,5.24,0,0,488.87,8.35,1.32,14.21,0,9.05
 84-94,0,0,1.01,22.41,2.48,598.07,0,0,7.62,52.52,0.71,0,2.99,1.3,1.25,0,0.69,0,62.64,45.23,0,9.87,3.66,3344.7,42.62,0,0,2.48,14.16,0,0,280.37,1.55,1.49,5.88,0,0
 96-106,0,0,1.78,10.42,18.33,349.57,0.99,4.4,7.78,30.96,0.56,0,0,0,0,3.22,0.65,10.72,14.01,29.95,2.02,1.67,1.26,2624.66,36.83,1,0,0.81,5.44,0,0,120.81,2.47,1.93,2.88,0.64,1.22
108-118,0,0,0,43.09,1.92,454.13,0,2.24,0,40.95,1.1,0,0,2.25,1.81,0,0,1.41,20.33,28.82,0,0,1.97,4106.94,41.49,1.41,0,2.15,1.56,0,0,111.71,3.53,0.45,2.41,0,2.03
120,0,0,0,30.16,4.28,537.98,0,2.35,6.63,40.95,1.38,0,0,0,0,0,0,1.82,1.6,30.84,0,15.43,4.73,4695.26,28,0,0,3.68,1.24,0,5.18,111.32,0,0,0,0,2.59
