stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.72,392.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,0,0,0,0,0,0,0
  5-6,0,147.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,0
  7-9,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.09,22.59,0,0,78.86,0,32.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.89,0,0,0,9.41,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,183.09,16.46,0,0,104.7,0,14.76,0,22.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,57.49,9.23,0,0,0,0,2.08,0,0,3.42,4.05,1.76,0,0,0,0,1.66,0,0,6.79,7.35,4.77,7.65,3.34,10.52,0,65.58,7.11,2.33,11.86,5.56,12.44,0,0,5.37,0,0
 24-34,0,0,0,1.51,64.81,0,0,1.86,0,12.54,3.02,1.94,0,1.5,10.67,14.71,0,0.93,0.6,0,2.81,6,1.21,0,100.63,1.94,24.11,9.79,0,0,296.04,0,1.23,2.8,4.87,10.63,0,0,53.06,0,0
 36-46,0,0,0,0,31.68,0,0,2.32,0,6.88,0,2.52,0,4.57,27.56,26.42,0,3.91,0,11.73,5.79,8.07,7.21,0,148.42,0,24.31,11.23,0,4.12,487.78,0,6.67,0,0,8.55,0,0,33.39,0,6.07
 48-58,0,0,0,0,35.69,0,0,4.17,0,13.79,21.77,0.49,1.99,3.38,40.88,18.26,0,2.4,0,9.85,7.87,2.32,14.06,1.37,136.55,0,46.67,8.82,0,1.52,320.19,0,10.91,0,0,6.43,0,0.91,37.88,0,2.18
 60-70,0,0,0,0,39.73,0,0,6.15,0.68,19.87,20.91,2.62,1.57,8.68,10.57,18.4,1.16,1.26,0,6.19,8.2,6.25,11.08,16.12,124.34,0,23.47,7.87,0,0,251.97,0,0.63,0,0,5.31,0.81,6.65,13.72,0.61,0
 72-82,0,0,0,0,27.44,16.68,0,28.31,1.61,4.06,17.04,18.34,1.6,4.67,25.46,7.83,0,5.8,0,7.45,25.16,20.53,40.57,2.5,124.44,0,52.16,12.53,0,0,146.54,0,4.37,0,0,0,8.2,12.43,45.59,14.94,0
 84-94,0,0,6.75,0,100.7,26.97,0,37.06,0.7,12.32,11.87,9.02,10.1,0,37.03,24.67,0,2.86,0,30.55,26.41,21.58,23.98,2.37,149.92,1.29,42.23,20.31,0,0,495.96,0,7.63,0,0,1.51,30.87,11.95,55.65,16.55,0
 96-106,0,0,0,0,152.84,33.74,0,48.75,0.9,16.37,24.84,37.44,0,0.58,55.4,16.82,0.71,15.76,1.39,9.46,15.9,21.58,10.23,1.04,98.36,0,57.27,21.44,0,3,392.33,0,0.71,0,0,1.81,49.09,11.19,121.22,11.05,0
108-118,0,0,3.58,0.61,155.58,12.21,1.62,19.53,0,35.61,31.97,64.69,0,0.61,59.05,28.03,0,5.6,0.69,24.96,32.99,10.6,30.78,3.59,99.49,0.54,52.39,23.05,0,0.91,342.06,0,3.67,0,0,6.78,59,5.88,47.57,18.7,0
120,0,0,0,0,205.08,2.76,0,9.8,3.87,34.29,17.17,42.89,0,0,89.83,6.46,0,11.39,0,1.51,34.37,25.16,14.46,0,93.54,0,73.9,18.3,0,0,232.34,0,4.26,0,0,0,10.33,0,74.94,29.66,0
