stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,762.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0
  5-6,26.88,233.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0,7.62,0,0,0,0,0,0
 14-21,0,0,0,0.87,0.95,0.99,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,5.52,0,0,0.93,0,0,0,0,4.02,0,0,0,0
 24-34,0,0,0,0.63,0,0,0,0,0.63,0,0,0,0,0,0,0,1.31,0,0,0,20.47,0,0,0,0,3.4,0,0,8.87,0,0,0,4.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,2.98,0,0,0.58,0,12.74,0,0,0,0,0,0,0
 48-58,0,0,0,0.37,0,0,0.45,0,0,0,0,0.45,0,0,0,0,1.67,0,0,0,0.42,0,0,0,0,0.72,0,0,0,0,0.52,0,0
 60-70,0,0,0,0.95,0,0,0,0,5.6,0,0,0,0,0,0,4.46,5.08,0,0,0,0,0,0,0,0,3.94,0,0,0,0,1.99,0,0
 72-82,0,0,0,1.14,0,3.27,0,0,3.14,0,0,0,0,1.02,0,0,7.44,0,0.92,0,1.2,0,0,0.51,0,1.94,0,0,0,0,1.91,0,1.96
 84-94,0,0,0.56,1.02,0,0.67,0,0,0.92,0.73,0,0,0.7,0,5,0,16.94,0.98,0,0.68,0,0,0.66,2.34,0,9.78,0,0,0,1.28,9.02,0,0.88
 96-106,0,0,0,1.34,0,0,0.64,0,2.45,0,0,0.79,1.18,0,0,0,13.17,0,0,0,0,0,0,0,0,15.2,0.6,0,0,0,1.19,0,0
108-118,0,0,0,5.82,0,0,0,0.62,3.69,1.31,0,1.12,0,0.46,7.05,0,18.1,0,0,0,0,0,0,0,0.91,15.24,0,0.41,0,0.92,2.08,0.66,0
120,0,0,0,0,0,1.21,0,0,4.63,0,0,0,0,3.56,0,0,7.56,0,0,0,0,0,0,3.15,0,2.82,0,0,0,0,0,0,0
