stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0
  5-6,0,13.82,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.68,0,0,0,0,0,0,0,12.42,0,9.6,7.05,0,0
 10-12,0,0,0,0,0,0,0,0,16.68,0,10.58,0,0,0
 14-21,0,0,0,0.88,0,0,2.2,0,3.49,0,0,27.66,0,0
 24-34,0,0,0,0,1.16,0,0,0,13.31,0,0,26.25,0,0
 36-46,0,0,0,0,3.49,0.63,2.35,0,7.46,0,0,11.41,2.75,0
 48-58,0,0,0,0,2.51,0,2.14,0,0.68,0,0,15.79,0,0
 60-70,0,0,0,0,0,1.04,5.12,0,16.2,0,0,1.25,2.76,0
 72-82,0,0,0.6,0,0,1.45,1.52,0,9.75,0,0,2.33,0,0
 84-94,0,0,0,0,0,0,2.72,0,0,0,0,5.4,0,0
 96-106,0,0,2.03,0,4.78,2.36,2.48,0,0,0,0,12.39,0,0
108-118,0,0,0,0,0,1.16,8.02,1.3,3.5,0.64,0,23.42,0,0.68
120,0,0,0,0,0,0,3.48,4.3,0,0,0,2.4,0,0
