stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.45,275.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0
  5-6,8.27,205.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.99,5.34,0,17.34,0,0,10.71,0,0,0,0,0,14.86,0,0,0,0,0,0,0,0,0,0,111.54,0,0,0,39.2,0,3.63,16.34,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,54.54,0,0,39.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,420.78,15.86,0,0,141.16,0,0,0,0,12.99,0,0,0,0,0,0
 14-21,0,0,0,2.06,27.01,9.28,98.84,0,0,0,15.22,0,0,0,0,0.8,0,0,0,52.87,0,0,23.96,681.22,6.11,0,0,8.7,0,8.76,0,12.36,2.2,11.12,151.06,0,2.72,0,2.91
 24-34,0,0,0,0.65,12.61,3.83,236.35,0,0,1.36,10.28,1.7,0,1.59,0,5.67,3.78,0,0,85.27,0,0,40.7,573.73,1.24,2.7,2.17,1,0,7.07,0,0,0,1.97,107.2,0,25.29,0,0.79
 36-46,0,0,0,0,17.09,1.17,211.68,0,0,0,13.53,0.62,0,0,0,0,0,0.67,0.85,80.46,1.19,2.55,29.9,256.7,0,0,4.33,0,0,2.25,0,0,0.58,0,52.11,0,9.41,0,0
 48-58,0,0,0,0,8.17,0,115.88,0,0.4,3.86,16.81,0,0,1.15,0.69,0,1.36,0.46,2.63,64.79,0,15.32,16.69,139.54,0.39,0,1.65,0,0,1.96,0,0,0,0,18.86,0,14.2,0,3.68
 60-70,0,0,0,0,10.29,0.57,29.05,0,3.9,1.08,25.2,2.32,0,0,1.66,0,0,0,0,29,0,1.97,1.23,116.57,1.73,0,2.1,0,0.71,3.73,0,0,0.6,0,4.95,0,6.14,2.04,4.45
 72-82,0,0,0,0,4.04,0.49,23.16,6.88,0,4.46,25.13,0.53,0,0,1.14,0,0,0,0,61.33,0,2.16,13.98,84.61,0.58,0,0,0,1.41,0,0,0,0,0,5.8,0,10.49,0.57,3.22
 84-94,0,0,0,1,9.61,0,27.78,0,0.56,2.4,22.42,4.28,0,0,1.98,0,0,0,1.44,47.15,0,0.57,18.63,60.59,0,0.8,3.18,0,0,0.62,0,0,0,0,10.01,0,14.4,0,0
 96-106,0,0,0.99,0,7.31,0,15.51,0,0,0.84,25.17,1.15,0,0.96,3.26,0.63,0,0,0,47.25,0,1.52,9.31,32.65,0,0,4.38,0,4.07,0,0,0,0.67,0,0,0.56,8.74,1.12,0
108-118,0,0,0.6,0.49,7.66,0.5,36.18,0,0,4.87,44.55,2.47,0,0,10.35,1.3,1.11,0,3.93,59.49,0.75,0,15.73,109.85,0.61,0.66,1.31,0,2.29,3.28,0,0,0,0,1.56,0,15.37,0,0
120,1.19,0,0,0,18.41,1.25,14.69,0,0,5.28,77.84,2.75,0,2.63,12.44,0,0,0,0,91.17,0,5.9,37.86,77.65,1.28,2.93,4.87,0,9.59,3.19,0,0,1.14,0,5.73,0,17.76,0,0
