stage,blastomeres,eye,glial,heart,immune,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,vasculature
  3-4,12.77,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.53,0,0,4.75,0
 14-21,0,0,0,0,0,0,0,0,1.15,4.53,11.21,0
 24-34,0,0,0,0,0,0,0,0,0,1.03,2.2,0
 36-46,0,0,0,0,0,0.72,0,0,0,0,0,0.64
 48-58,0,1.18,4.35,0,0,0,0,0,0,0,0,1.2
 60-70,0,0,0,0,0,0,3.03,0,0,0,0,0
 72-82,0,0,0,2.73,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.78,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.39
108-118,0,0,0,0,0.78,0,0.45,0,0,0,0,0
120,0,0,0,0,8.14,1.56,0,0,0,0,0,0
