stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,454.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.86,0,0,0,0,0,0,0
  5-6,0,165.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,9.07,0,6.22,0,0,0,0,0,0
 14-21,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,1.71,0,0,0,0,0
 24-34,0,0,0.8,1.28,0,0.59,0,0.63,0,0,0,0,0,0,0,0,1.3,0,0,0,48.1,0,0,0,0,0,11.58,0,0,0,0,0
 36-46,0,0,0.95,0,0,1.85,0,1.69,0,0,0,0,0,0,0,0,0,0,0,1.51,117.52,0.66,0,0,0,0,7.81,0,0,0.62,0,0
 48-58,0,0,0,0,0,16.7,2.38,0.84,0,0,0,0,0,0.38,0,0,1.36,0,0,0.96,230.29,0,0,0,0,0,8.13,0,0,0,0,0
 60-70,0,0,0,0,0,188.86,0.8,6.92,0,0,0,2.54,0,4.78,0,0,4.2,0,0,0.6,441.77,2.36,0,0,12.14,0,25.54,0,0,0,0,0
 72-82,0,0,1.91,3.53,0.77,408.75,0,20.84,0,0,0,0,6.4,1.67,0,0,11.04,0,2.05,0,613.4,1.67,3.15,0,2.6,0,25.74,1.68,0,0.76,0,4.24
 84-94,0,0,1.42,7.27,0,200.53,0,12.83,1.61,0.97,0,0.8,0,3.06,0,0,16.26,0,0,0,491.31,0,1.04,0,0,0,8.72,0,0.88,2.57,0.63,0
 96-106,0,0,13.66,5.95,0.85,545.51,0.69,17.86,0,0,0,0,0,0.82,7.59,3.42,17.15,3.31,0,0,613,0.85,0,0,0.6,0,9.3,0,0.62,1.66,3.27,0
108-118,0,0,1.39,7.62,0.72,399.71,0,9.93,0,0,0,0,0,2.85,0,0,12.87,0,0,0,631.15,6.55,0,0,0.59,0.48,1.43,0,0,2.1,0,0
120,0,0,11.31,6.25,0,329.85,0,23.83,0,0,4.1,0,0,0,0,0,12.39,0,0,6.66,849.49,17.98,0,0,0,0,16.37,0,0,0,0,8.45
