stage,blastomeres,endoderm,fast.muscle,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
 10-12,12.04,3.2,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.91,1.65,0,0
 24-34,0,0,0,0.72,0,0,0,0.69,0
 36-46,0,0,0.73,0.72,0,0,0,0,0
 48-58,0,0,1.1,0.39,0,0,0,0,0
 60-70,0,0,0,0,1.71,0,0,0,1.06
 72-82,0,0,0,0,1.87,0,0,0,0
