stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature
 14-21,0,2.1,0.83,0,0,0,1.15,0,0,0,0.92,0,0,0,0,3.13,0,0,0.87,0,4.31,0,5.49,6.26,0,0
 24-34,0,0,0,0.74,0,0,0,0,0,0,0,0.62,0,0,0,32.44,0,2.21,0,0,2.76,1.04,0.82,7.66,0,0
 36-46,0.84,3.87,0.75,8.3,6.32,0,0,0,0.56,0,0,0.61,13.76,0,4.84,102.6,6.51,0,0.61,0,1.32,1.34,0,18.91,0,2.3
 48-58,0,0,0,21.95,0,0.55,2.69,0,0,0,0.42,0,5.05,0,3.39,82.99,0,0,0,0.45,1.71,0,0,21.76,0,2.07
 60-70,0,1.96,0,47.22,0,0,4.67,0,0,0,0,0.93,5.32,0,0,97.25,0,0,0,0,3.1,0,0,5.08,0,2.47
 72-82,0,0,0.5,49.72,0,0.7,1.09,1.99,1.18,0,2.22,0,0.53,0,0.66,68.03,0,0,0,1.03,1.21,0,0,0,0,0
 84-94,0,0.61,0,28.05,0,3.34,6.82,0,0,0,0,0,5.39,0,0,44.64,0,0,0.61,0,13.67,0,0,4.37,0.57,0
 96-106,0,0,10.91,47.68,0,0,0.9,0,0,0,0,0,6.31,0,0,53.53,1.05,1.76,0,0,5.75,0,0,0,0,3.18
108-118,0,0,0,14.46,0,0,3.83,0,0.48,1.37,0,0,1.95,0,0.9,28.61,0,1.1,0,0,4.03,0,0,0,0,0
120,1.28,0,0,16.22,0,0,8.95,0,0,0,0,0,0,12.41,2.81,3.53,0,0,0,0,0,0,0,0,0,0
