stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.46,280.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.62,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,4.09,0,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.22,1.62,2.84,0,0,0,0,5.14,0,0,0.81,0,0,0,0,0,1.63,0,0,2.63,17.1,0,0,1.09,0,0,4.83,0,0.88,0,1.23,2.82,6.18,0,0,1.91,0,0
 24-34,0,0,0,0,0.63,0.81,1.21,0,0,2.5,0,0,0,3.11,0,0.72,0,0.78,0,21.11,0,0,9.43,95.4,2.36,4.05,0.64,0,0,5.85,0,0,0.94,0,2.83,24.21,0,0,6.53,0,0
 36-46,0,0,0,0,0.88,0,16.09,1.63,0,7.55,1.43,0,0,1.51,0,0,0,0,0,15.56,0,0,5.37,201.07,4.61,2.92,0,0,0,6.97,0,1.63,0,0,0,30.04,0,0,1.09,0,0
 48-58,0,0,0,0,1.16,0,212.71,0,0,5.31,3.64,0,0.37,1.78,0,0.77,0.5,0,0,29.98,0,0,5.63,181.1,4.58,2.39,0,0,0,4.12,0,0,0,5.35,0,34.44,0,0,1.63,0,0
 60-70,0,0,0,0,15.76,0.58,933.64,2.62,1.31,0.64,1.63,0.62,0,0,0,0,5.14,0,0,53.2,0,0,4.19,338.63,2.82,0,0,0,0,11.8,0,0,0,0,0,54.8,0,0.9,0,0,9.17
 72-82,0,0,0,0,1.83,1.9,851.04,0.5,0.73,9.42,25.6,0.63,1.23,0,0,0,8.87,0,0,94.28,1.8,0.49,2.53,315.64,3.95,1.83,3.15,0,4.65,6.45,0,0,0,0,0,60.64,1.34,0.61,1.11,1.38,4.65
 84-94,0,0,1.2,0,12.13,0,453.69,0,0,4.9,54.68,0.68,0,0,1.33,3.19,12.16,0,0,50.35,0,0,3.05,181.2,13.57,0,0,0,3.75,32.63,0,0,0,0,0,15.94,0,0.71,0.78,4.79,0
 96-106,0,0,1.08,0,11.34,15.81,459.03,2.78,2.03,0.8,32.09,0.73,0,0,0.56,1.46,3.37,1.11,0.62,69.92,6.26,1.42,7.93,199.02,7.12,1.43,1.35,0,2.97,20.32,0,0,0.82,0,0,6.48,0,6.57,0,2.01,0
108-118,0,0,0.41,0,19.41,1.38,431.88,0,2.12,2,43.74,5.18,0,0,0,0,12.22,0.6,2.79,57.8,2.13,8.28,12.14,287.66,8.81,0.46,2.19,0,26.22,20.14,0,0,0,0,0,8.37,0.49,1.1,0,0,0.49
120,0,0,0,0,7.62,0,269.21,1.49,2.24,31.37,28.93,2.99,0,5.1,1.97,0,1.01,0,3.28,108.57,0,0,3.46,410.87,55.54,1.26,7.09,0,21.28,33.86,0,0,1.26,0,0,12.5,0,0,0,0,0
