stage,eye,glial,mesenchyme,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle
 14-21,0,0,0,0,0.97,1.52,0,0
 24-34,0,0,0.8,0,11.74,1.46,1.77,0
 36-46,0,2.26,0,1.16,0,0.58,0,0
 48-58,0,0,0,0,6.59,0,0.67,0
 72-82,0,0,0,0,0,0,0,0.63
 84-94,0.84,0,2.97,0,0,0,0,0
 96-106,0,0,0,0,0.94,1.93,0,0
