stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.02,0,0,1.59,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,2.31,0.85,1.31,0.92,0,0,0,0,0
 24-34,0,4.16,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,62.47,0,0,0,25.34,0.8,0,0,0,0,0,0,0,1.34,0,0,0,0,0
 36-46,0,0,0,0,1.12,0,2.3,0,0.87,0,0,0,0,0,0,0,89.76,0,1.97,0,20.88,0,0,0,0,0,0,0.74,0,4.16,0,0,0,0,0
 48-58,0,0,0,0,6.21,0,0,3.39,1.72,0,0.63,0.47,0,0,0,0,323.03,0,4.1,0.38,96.38,0,0,0,0,0,0,0,0,8.89,0,5.59,0,0,0
 60-70,0,0.71,2.72,0,16.66,0,0,9.74,0.75,0,0.71,0,0,0,0,0,1435.9,0,56.07,12.51,10.53,0,0,0,0,0,0,0,0,9.26,0,52.49,0,483.25,0
 72-82,0,6.3,5.44,0,119.92,0,13.13,11.11,9.05,0,4.72,0,0,0,0,0,2251.46,0,112.29,3.16,60.71,0,1.65,4.37,0,0,0,0,0,2.11,0,172.05,2.51,1148.63,12.18
 84-94,0,8.18,3.95,0,163.95,0,6,1.84,9.87,0.97,4.81,2.08,0,0,2.91,0,2189.78,0,118.75,2.02,52.28,0,0.7,3.13,0,8.47,0,0,0,3.88,0,232.13,10.84,1933.27,0
 96-106,0.83,7.5,6.51,0.98,88.1,0.93,3.64,14.69,9.69,2.8,8.6,0,1.55,10.5,0,4.24,1567.76,0,49.72,6.36,65.03,0,0,1.1,7.19,19.02,0,0,0,0,3.37,168.34,2.24,2189.33,0.73
108-118,0,4,4.03,0.56,50.06,0,3.1,0,18.17,6.62,3.24,0,1.62,0,0,2.85,1664.81,0,39.11,1.51,90,11.6,0,0.42,4.45,4.23,0,0.54,0,0,0,130.26,2.97,1526.27,0
120,0,0,0,0,59.56,0,0,19.12,0,8.33,0,7.02,0,0,0,5.51,1503.99,4.69,83.66,7.22,161.97,0,0,0,0,0,0,0,0,0,4.63,141.63,0,2351.53,0
