stage,epidermis,erythrocytes,eye,immune,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,11.91,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.1,0,0,0
 14-21,12.03,0,0,0,0,1.26,0,0,0,0,0,0
 24-34,48.42,0,0,0,0,19.05,1.2,1.57,3.48,0,0.65,0
 36-46,3.38,0,0,0,0,63.5,0,0,13.17,0,1.1,0
 48-58,0.71,0,0,0,0,52.52,0.51,0.59,0,0,0,1.77
 60-70,0.93,0,0.79,0,0,28.82,0,0,1.67,0,0,0
 72-82,4.05,0,3.8,0,0,15.47,2.31,0,0,1.87,0,7.65
 84-94,0,1.4,0,0.68,0,8.79,1.94,0,0,0,0,0
 96-106,0,0,0.58,1.61,1.2,2.88,5.9,0,0.56,2.84,0,0
108-118,0,0,0,1.49,0,5.24,4.3,0,3.53,0,0,0
120,0,0,2.88,1.31,0,1.71,2.81,0,0,0,0,0
