stage,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,14.33,0,0,0,0,0
 14-21,1.32,0,0,0,0,0,0,0,1.26,0,0,0,1.35,1.16,0.86,3.62,0
 24-34,0,0,1.46,0,0,0,0,0,0.76,1.92,0,0,0,0,0,0,0
 36-46,0,0,0.59,0,0.67,0,0,0,0,1.9,109.72,0,4.21,0,0,0,0
 48-58,0,6.81,1.74,0.84,0,0,0,0,0,1.13,0.94,0,0,0,0,0,3.08
 60-70,0,0,0,0,0,0,1.34,0,0,1.28,0,0,0,0,0,0,0
 72-82,0,0,1.18,0,0,0,0,0,0,0,51.12,0,0,0,0,0,0
 84-94,0,0,0.83,0,0,0.9,0,0,0,4.99,10.56,0,0.9,0,0,0,0
 96-106,0,1.9,0,0,0,0.81,0,2.05,0,3.4,152.65,0,0,0,0,0,0
108-118,0,1.33,0,0,0,0.67,0,3.23,0,4.81,0,0,0.77,0,1.36,0,0
120,0,0,0,0,0,1.56,0,0,0,22.88,0,0,0,0,2.89,0,0
