stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,240.67,4151.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.43,0,0,0,0,0,0,0,0,0
  5-6,150.97,1862.96,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.87,17.23,0,0,9.09,0,551.66,0,0,0,0,0,0,0,0,0
  7-9,5.24,12.19,0,24.88,0,0,0,57.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.26,9.01,0,0,97.62,0,281.04,62.55,0,0,0,0,0,0,0,0
 10-12,0,7.57,0,164.2,0,0,0,36.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.16,36.34,0,0,141.5,0,54.06,26.25,0,45.91,0,0,0,0,0,0
 14-21,0,0,0,28.85,85.38,4.32,0,2.51,0,2.63,0,1.23,43.58,0,3.88,13.44,0,0,0,0,4.8,1.23,0,8.54,30.55,0,0,0,1.84,0,178.32,0.91,10.49,25.67,0,1.1,8.77,0,0.82,0
 24-34,0,0,0,10.79,59.79,0.66,0,3.84,0,24.67,0,1.82,5.72,0.67,14.25,17.09,0,0,0.73,0,10.95,10.33,0,3.03,61.63,7.24,1.96,0,0,0,305.01,0,0,20.56,0.65,1.44,11.27,0,10.89,0.77
 36-46,0,0,0,0.96,39.38,0,0,2.77,0,22.21,0,1.52,10.61,0,21.21,11.72,0,2.34,1.45,1.38,11.45,5.04,0.8,0.73,27.35,0.57,2.4,0,0,0,372.77,0,0,14.18,0,0,1.84,0,4.43,0.57
 48-58,0,0,0,0,32.13,0,0,10.94,0,33.65,0.55,3.49,24.34,1.14,15.64,19.92,0.86,1.11,0.76,0,13.32,2.67,0.91,0,53.41,0,3.13,0,0,0,220.6,0,0,12.57,0,0,4.74,0,0.45,6.95
 60-70,0,0,0.65,0,40.26,0,0,19.97,0,9.34,0,2.68,44.11,0.75,18.61,10.57,0,0.7,9.84,0,17.33,1.72,6.88,4.4,56.44,0,2.62,0,0,0,196.22,0,0,25.56,0,0,2.95,1.44,9.72,0
 72-82,0,0,1.08,0,28.42,0,0,8.08,3.21,12.19,0.51,10.64,93.57,0,16.54,2.97,0,2.56,2.46,0,11.5,1.81,0,0,69.27,0,3.12,0,0,0,109.61,0,0,7.96,0,0,5.12,0,12.38,0
 84-94,0,0,7.61,5.6,77.51,0,0,14.28,0,28.38,0,8.49,173.51,0,30.61,13.11,1.22,0.66,5.59,3.32,10.75,4.49,0.63,1.89,57.84,0,2.37,0,0,0,284.2,1.4,0,21.13,0,0,1.07,1.6,1.42,0
 96-106,0,0,5.3,9.56,98.64,0,0,42.1,0,10.6,0,21.83,132.74,0,20.77,11.49,0.69,2.09,8.91,0,12.15,4.09,0,3.04,70.25,0,4.76,2.39,0,1.05,286.69,0,0,9.28,0,0,0.99,10.12,6.37,0
108-118,0,0,0.95,10.85,106.51,5.56,2.74,7.5,0,17.43,0,28.22,143.97,2.92,32.39,11.05,0.43,3.17,23.72,0,16.54,1.86,0,0,60.87,0,5.59,0.44,0,0,194.45,0,0,13.62,0,0,2.39,7.44,1.06,0
120,0,0,7.01,0,105.1,0,0,27.79,0,13.35,0,9.07,141.24,0,42.15,25.22,0,1.76,67.17,0,8.81,10.01,13.19,0,53.65,0,4.96,0,0,0,141.97,0,0,17.39,0,0,0,7.15,3.24,0
