stage,epidermis,eye,fin.epithelia,glial,neural,periderm,somites,spinal.cord
 14-21,0,0,0,0,18.67,0,0,0
 24-34,0.6,0,0,0,1.2,0,0,0
 36-46,0,0,0,0,0.61,0,0.83,0
 60-70,0.57,0,0,0,0,0.68,0,0.87
 72-82,0,1.81,0,0.86,0,1.22,0,0
 84-94,0,0,0,0,0,0.63,0,0
 96-106,0,0,0.6,0,0,0.82,0,0
