stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,34.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,5.23,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4.73,0,0,0,0,0,0,0
 14-21,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0.93,0,0,7.49,0,0,0,0,0.87,0,0,0,0
 24-34,0,2.36,0,0.68,0,0.65,0,0.62,0,1.16,0,0,0,1.29,0,0,5.64,0.95,0,0,0,11.99,0,0,1.33,0
 36-46,0,0,0,0.71,0,0,0,0,0,0,0,0,0,11.07,0,1.49,14.73,0,0,0,0,11.09,0,0,0,0
 48-58,0,0.55,0,2.19,0,0.58,0,0,0,0.97,0,0,0,18.86,0,2.16,45.39,0,0,0.5,0,15.31,0,0,0,0
 60-70,0,0.7,0,0,0,1.24,0,0,0,0,0,0,0,4.6,1.6,1.74,51.65,0,0,0,0,7.61,0,0.8,0,0
 72-82,0,0.95,0.51,5.87,0,16.92,0.56,0,2.06,0,0.52,0,0,29.84,0,3.24,60.04,1.82,0,0.75,0,8.67,0,0.52,3.38,0
 84-94,0,0.74,0,10.37,0,2.93,0.79,0,0,0,0,0,0,28.29,1.44,0.58,49.47,0,0,0,0.67,17.06,0.55,0.71,0,0.63
 96-106,0,0,0,7.58,0,1.61,0.89,0.98,0.63,2.64,5.41,0,0,24.93,0,3.01,13.06,0.69,0,0,0,3.06,0,1.05,0,1.23
108-118,0,1.29,0,12.51,0.66,10.88,1.47,2.22,0,1.21,8.31,0.45,0,34.39,0,1.77,46.28,0,0,3.42,0,0,0.5,0,0,1.59
120,0,0,0,1.94,0,0,0,0,0,0,17.32,1.05,1.84,20.94,0,26.7,72.34,0,0,0,0,0,0,0,9.74,0
