stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,lateral.line,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,47.08,1079.71,0,0,0,0,0,0,0,0,43.3,0,0,0
  5-6,90.11,812.66,0,0,0,0,0,16.61,0,0,0,0,0,0
  7-9,8.27,7.51,7.79,0,0,3.65,0,130.37,0,30.2,0,0,0,0
 10-12,0,0,0,0,0,8.41,0,34.37,8.92,13.27,0,8.44,0,0
 14-21,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.18,0,3.8,0,0,0,0,0.96,0
 60-70,0,0,0,0,0,0,0.73,3.9,0,0,0,0,0.87,0
 72-82,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
108-118,0,0,0,0,0,3.97,0,0,0,0,0,0,0,2.45
120,0,0,0,0,0,0,0,5.54,0,0,0,1.38,0,4.7
