stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  3-4,92.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0
  7-9,4.35,27.04,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,37.58,0,0,46.97,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,23.03,4.28,0,13.16,0,0,8.71,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,6.07,0,0.82,0,0.83,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,1.95,0,0,3.63,0
 36-46,0,0,0,0,1.3,4.59,0,0,0,0,0,1.49,0,0,1.17,0,0,0,25.45,0,0,0,1.49,0,0,0.98,0
 48-58,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0.87,0.86,3.83,0,0.71,58.09,0,0.6,0,2.41,0,0.61,0,0
 60-70,0,0,3.94,0,3.58,0,0,0,0,0,0,0,0,0,1.71,4.44,0,0,19.31,0,0,0,5.11,0,0,1.29,0
 72-82,0,0,2.46,0,11.82,1.89,1.5,0,0,3.66,5.77,0,0,0,1.47,0,0,0,87.66,0,0,0,37.83,0,0,0,0
 84-94,0,0,0.6,0,9.5,1.07,0,0,0,0,0,0,2.79,0,0,3.21,0,0,16.14,0,0,0,28.56,0,0,0,0
 96-106,0,0,4.8,0,8.46,6.72,0,3.52,0,0,9.29,0,0,0,0,0.69,0.93,2,17.86,0,0,0,18.14,0,0,0,0
108-118,0,0,3.72,0,3,3.37,0.68,0.9,0,2.33,0.52,0,0,0,0,3.1,0,0,5.03,0,0,0,15.21,0,0,0,5.48
120,0,0,6.79,0,13.7,1.45,0,0,0,4.96,1.89,0,0,0,0,0,0,0,24.48,0,0,0,6.91,0,0,0,0
