stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.69,34.24,80.5,25.83,0,6.15,0,0,10.44,17.14,24.21,0,0,4.97,0,0,0,0,2.43,0,0,4,339.91,0,0,6.72,1,0,108.76,1.12,1.87,92.29,0,100.88,0,0,41.42,0,0
 24-34,0,0,32.99,68.07,2.35,0,23.11,22.63,0,26.27,1.53,2.1,13.96,5.14,4.72,0,4.35,1.37,0,4.86,5.29,0,0.59,1525.61,0,13.94,24.97,0,0,156.34,0,0,42.32,0,341.53,0,0,257.39,0,0
 36-46,0,0,3.95,135.52,2.17,0,107.84,36.89,1.09,67.8,0.59,0,5.87,0,4.23,0,5.67,3.29,8.02,11.75,0,0,0.9,3511.6,0,8.27,8.05,0,0,190.05,0,0,15.55,0,701.2,0,0,210.71,0,0.71
 48-58,0,0,0.55,65.17,2.96,0,591.1,44.61,0.43,137.75,6.85,1.05,10.65,0,0.39,0,5.07,14.5,0,32.56,3.12,7.07,9.05,4434,0,5.9,5.44,0,0,89.43,0,0,23.59,2.01,629.91,0,0,149.62,0,21.56
 60-70,0,0,0,57.34,5.7,0,1183.19,44.32,2.7,216.2,33.49,0,4.9,0.7,11.16,16.38,4.69,5.55,0,47.93,5.31,9.66,9,5768.93,3.46,17.12,10.44,0,0,114.34,0,0,18.41,0,712.71,0,0,139.91,0,18.92
 72-82,0,0.54,0,76.47,4.42,0.72,1238.04,44.93,4.4,212.25,37.42,0,11.86,1.92,1.59,0.57,7.22,7.67,0,83.82,2.41,14.96,6.31,4324.71,0,14.09,14.39,0,1.77,88.78,1.65,0,5.96,8.69,524.17,4.2,1.34,288.03,0.6,21.96
 84-94,0,0,0,80.99,7.67,6.11,955.39,44.84,5.76,145.07,33.43,1.75,14.68,7.22,4.7,0.7,1.66,12.96,0,68.03,3.3,8.6,8.93,2698.04,0,14.15,6.5,0,0,217.39,0,0,9.21,0,282.6,3.8,0,300.42,0,14.5
 96-106,0,2.69,4.27,103.54,11.39,5.74,866.99,27.4,0,194.22,25.63,0,8.31,2.56,6.09,2.26,2.27,9.69,14.14,74.43,20.35,0.62,5.41,2582.6,0.68,23.21,14.92,0,4.78,203.05,0,0,3.65,0,162.43,1.23,7,288.79,0,8.09
108-118,0.45,0,0.93,99.84,10.03,36.21,741.84,41.17,3.89,212.51,40.66,0,1.81,1.11,9.85,1.01,0.43,26.18,0.72,68.96,2.27,0,3.04,3354.29,0,12.38,15.14,0,0,116.68,0,0,6.03,0,166.79,1.69,0,241.1,0.5,1.56
120,0,0,3.17,172.17,5.65,21.46,803.67,33.3,22.33,300.35,14.09,0,0,5.19,14.23,0,5.54,12.05,0,131.36,5.68,11.9,19.6,6174.56,3.19,26.23,62.74,0,0,134.74,0,0,9.64,1.63,248.3,2.64,1.54,450.57,0,3.14
