stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,411.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.44,116.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,37.35,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.21,0,7.03,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.78,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0,0,3.95,0,0,0,0.87,0,1,0,0,0,0,0,0,0,3.18,0,1.22,50.03,0,0,0,0,0,12.91,2.13,1.46,0,4.85,12.21,0,0,0,0,0
 24-34,0,0,0.97,0,4.99,0,0,28.2,0,0,0,0,0,0,0,0,0,0,0,0,3.98,4.44,0,4.15,174.18,0.77,2.03,2.28,0,2.91,12.49,0,0.7,0.64,1.37,42,0,0,6.34,0,0
 36-46,0,0,0,0,19.42,0,0,29.01,0,0,0,9.07,0,0,0,0,0,0,1,1.55,0,15.37,0,1.34,326.94,0,2.33,0.69,0,0,18.53,0,0,0,2.35,52.96,0,0,0,0,8.76
 48-58,0,0,0.67,0,6.21,0,0,75.15,0,0.41,1.27,21.57,0,0,0.63,0.75,2.19,0,0,4.4,7.65,17.58,0.82,13.02,506.14,4.84,4.46,1.41,0,0,13.92,3.76,1.66,1.3,0,97.03,0,0.89,1.99,0,10.75
 60-70,0,0,0.62,2.79,6.67,0,0,142.65,1.51,4.52,0.84,20.91,0.63,0,1.45,0.64,0,0,0,0,3.44,26.94,0,1.37,742.45,0,2.96,1.67,0,0,31.47,0,0,0,0,71.43,0,0,3.6,0.89,3.04
 72-82,0,0,2.76,0,13.61,0,0,144.58,0,0.5,3.34,46.5,3.94,0,1.85,5.43,3.86,0.59,1.73,1.19,0,52.86,1.98,9.19,768.47,9.68,13.03,5.64,0,0,17.26,0,0.73,0,0,64.14,0,0.56,16.02,0.76,0
 84-94,0,0,1.61,1.01,11.36,2.12,0,149.23,4.78,2.29,3.9,22.83,2.31,0.99,0.88,10.08,0,1.61,0.67,1.54,2.27,30.89,1.33,2.69,582.96,0,6.42,0,0,0,51.23,0,3.11,0.61,0,38.77,3.74,3.55,1.67,0.68,0
 96-106,0,0,0.9,1.03,9.99,8.6,1.07,111.05,0,2.19,1.81,47.79,4.12,0,0,1.72,2.04,3.35,0,0,0.68,41.18,1.02,3.48,480.58,0,20.44,12.56,0,0,37.11,0,0,0,0,35.21,2.03,0.56,7.56,4.59,0.62
108-118,0,0,0.8,0,17.03,2.23,2.3,128.59,1.3,2.56,6.86,49.01,5.41,0,0.56,5.7,3.44,2.88,1.27,1.04,1.92,27.66,0.94,7.46,601.07,2.53,4.35,12.05,0,0,56.01,0,0,1.5,0,12.88,1.14,0.99,5,1.03,7.53
120,0,0,0,0,77.51,2.1,15.5,120.23,0,1.21,8.95,57.12,10.14,0,0,19.49,3.3,0,1.07,7.24,5.95,60.67,20,4.75,1179.24,7.38,16.8,13.21,0,2.54,23.68,0,0,0,0,25.19,2.39,0,8.45,0,2.78
