stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,0
  7-9,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.38,0,0,0,0,0,0,0,0,0
 10-12,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0
 24-34,0,0,0,0,0.77,0,0,0,0,0,58.06,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0
 36-46,0,0,13.46,0,1.34,0,0,0,0,0,217.96,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.91,0,0,0,0,0,300.05,0,0,0,0,0,22.77,0,0,0,0,0,4.47,0,0,0
 60-70,0,0,0,0,3.24,0,0,0,0,0,487.62,0,0,0.56,0,0,11.61,0,0,0,0,0,8.67,0,0,0
 72-82,0,2.33,0,0,2,0,0,1.05,0,0,468.52,0,1.08,5.41,3.04,0,18.89,0,0,2.03,0,0,5.87,0.91,0,0
 84-94,0,0,0,0,3.41,0,0,0,0.72,0,789.2,0,0,1.27,0,0,18.54,0,0,0,0,6.77,5.7,0,7.32,0
 96-106,0,0.72,2.42,0.63,5.82,0,0,1.58,0.72,0,884.1,1.58,0,1.58,0,1.47,19.91,0,0.93,0,0,0.58,0,0,0.69,1.84
108-118,0,0,1.1,0,7.1,0.5,0,2.95,0,0,706.57,0,3.11,3.88,0,0.51,16.74,0,0,0,0,1.14,0,0,1.81,0
120,0,0,12.89,0,8.53,0,4.8,2.75,0,5.1,1936.5,0,3.74,0,0,0,50.3,0,0,0,0,1.6,0,0,5.12,0
