stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.27,248.46,0,0,0,0,0,0,4.75,0,0,0,0,0,0.81,0,0,0,3.51,1.17,0,0,8.23,0,0,1.91,3.71,4.53,0,40.29,0,0
 24-34,0,0,1.34,0.66,34.83,0,0,0,38.54,0,1.02,51.06,0,0,0,0,1.77,11.71,0,0,11.87,35.68,1.39,0,0,0,0,0,0,15.31,2.78,0,435.02,0,0
 36-46,0,0,0,0.66,11.21,0,2.98,29.5,165.75,0,0,51.99,1.03,0,0,0,0,72.52,0,0,17.09,24.72,0,1.47,0,0,1.44,0,0,0,1.4,0,370.72,0,0
 48-58,0,0,0,0,0.42,0,2.78,21.19,274.73,0,0,56.81,0,1.16,0,0,0,46.57,0,0,8.41,23.29,0,0,0,0,0,0,0,0,7.13,0,334.34,0.72,0
 60-70,0,0,0,0,0,0,9.04,8.42,429.58,2.35,0,42.13,0,35.58,0,0,0,45.38,0,0,10.7,16.33,0,0,0,0,0,0,0,0,6.76,0,304.52,0,1.82
 72-82,0,1.69,0,1.7,17.73,0,14.18,5.17,417.53,7.19,0,54.7,0,40.81,0,0,0,39.38,0,0,5.77,13.87,0,1.33,0.83,0,0.82,0,0,0,3.34,0.84,383.83,0,4.19
 84-94,0,0,0,0,0,0,13.54,10.49,312.92,3.97,0,38.55,0,43.55,0,0,0,42.3,0,0,8.14,3.78,0,0,0.88,0,1.17,0,0,0,0,0,359.25,0,0
 96-106,0,0,0,4.31,5.45,0,26.28,15.4,281.73,4.82,0.68,48.28,0,58.68,2.06,0,0,25.72,0,0.56,0,36.4,0,0,0,0,0,1.41,0,0,6.75,0,373.08,0,0
108-118,0,0,0,0,3.08,0.5,8.55,9.81,273.59,4.46,0,27.5,1.64,115.28,0,0.6,0,20.15,1.55,0,7.71,15.42,0,0,0,0,0,0.56,0,0,0,0,308.38,0,0
120,0,0,0,2.54,2.47,0,11.92,14.64,261.39,8.93,0,33.19,0,76.06,0,0,0,17.85,0,0,0,25.11,0,0,0,0,2.81,0,0,0,0,3.74,454.16,0,0
