stage,blastomeres,erythrocytes,eye,glial,hatching_gland,heart,immune,mesenchyme,mucous,muscle,neural,pericytes,periderm
  3-4,9.39,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.49,0,0,0,0,0,0,0,0,0,11.86,0,0
  7-9,0,0,0,0,4.94,0,0,0,0,0,5.13,0,0
 10-12,0,5.1,0,0,0,0,0,0,0,0,4.22,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.34,0,0
 24-34,0,0,0,0,0,0,1.04,0,0,0,0,1.14,0
 36-46,0,0,0,0,0,1.32,0,1.09,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.38,0,0.38
 72-82,0,0,0,0,0,0,0,0,0,0,3.5,0,1.38
 84-94,0,0,0,0,0,0,0,0,0,0.74,0.92,0,10.92
 96-106,0,0,0,11.9,0,0,0,0,0,0,0.92,0,19.22
108-118,0,0,0.57,0.42,0,0,0,0.53,0,0,1.61,0,3.92
120,0,0,0,24.62,0,0,0,0,2.91,0,0,0,0
