stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.94,278.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.47,183.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.53,3.24,0,0,25.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.17,0,0,0,15.53,0,3.1,0,0,12.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.78,0,0,9.48,0,0,0,0.97,0,0,0,0,0,0,0,9.32,0,0,11.12,41.46,0,1,0,0,0,0,0.9,2.85,0,0,7.54,13.67,0,0,0,0,0
 24-34,0,0,0,0.83,0,0,28.61,0,0.85,1.38,0,0,0,0,0,0,0,7.59,43.33,0,0,52.82,74.37,0,6.25,1.76,0,0,3.41,0,0,0.64,0,1.11,21.37,0,0,0,0,0
 36-46,0,0,0,2.56,0,0,50.31,0,1.24,0,5.59,0,0,0,0,0,0,2.51,137.57,0,0,35.75,90.2,0,2.02,2.33,0,0,2.27,0,0,0.81,0,0,24.89,0,0,7.92,0,0
 48-58,0,0,0,3.56,0,0,253.54,1.05,1.6,0.43,14.35,0,0.37,0,0,0,0,21.2,130.85,0,4.39,23.7,146.51,1,0.61,5.84,0,0,0,0,3.76,0.37,1.46,0,39.09,0,0,0.49,0,0
 60-70,2.52,0,0,8.14,0,0,474.88,0,9.53,0.76,52.37,5.38,0,0,0,0.66,0,21.01,127.23,0,0,16.91,128.23,0,3.35,3.31,0,0,3.83,0,0,0,2.06,0,11.28,0,1.56,0,0.81,11.19
 72-82,0,0,0.49,11.55,3.53,0,326.96,1.33,1.19,0,53.72,0,0,0,3.04,0,0,17.21,98.71,8.82,1.45,13.93,177,0,1.33,8.92,0,0,0,0,0,0,2.88,0,20.05,1.36,1.62,9.42,1.61,4.55
 84-94,0,0,0,4.73,0,0,299.09,5.08,1.45,0.65,57.8,4.38,3.32,0,7.88,0,0,20.83,103.44,0,1.78,12.41,107.77,0,6.93,12.66,0,3.05,0,0,0,0,0,0,11.3,0,0,0.62,0.57,0
 96-106,0,0,0.87,3.38,0,0.8,193.61,2.85,1.34,0.92,31.29,0.72,0,2.1,0,0,0,11.87,53.96,0,2.58,9.97,102.42,0.81,10.29,10.2,0,0,1.29,0,0,0,0,0,3.56,0,0,0,0,0
108-118,0,0,4.66,8.26,0,0,143.99,1.53,4.12,1.76,33.84,7.66,0,1.4,0.51,0,3.97,23.87,71.89,0,5.5,8.1,66.43,0,0,11.66,0,0,0.8,0,0,0,0.55,0,0.47,0,1.53,7.26,0,0
120,0,0,0,29.78,0,0,177.51,2.35,0,0,52.88,1.18,0,0,0,0,0,18.85,50.26,0,4.76,26.76,226.4,1.1,24.24,21.29,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0
