stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,274.96,4362.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.25,0,0,0,0,0,0
  5-6,98.42,1213.39,0,0,0,0,0,0,0,0,0,0,28.22,0,0,12.41,32.95,0,0,0,0,0,0
  7-9,11.74,0,7.36,0,14.61,0,10.4,0,0,0,0,0,304.94,13.23,0,113.58,0,42.55,0,0,0,0,0
 10-12,0,0,25.83,0,0,0,5.21,0,0,0,0,0,77.29,10.25,0,12.67,0,5.33,0,0,0,0,0
 14-21,0,0,1.33,6.43,1.93,0,0,0,0,9.54,2.04,0,14.7,0,0,1.92,0,5.12,2.37,1.91,7,4.95,0
 24-34,0,0,0,0,1.07,0,0,0.77,0,0,0,0,1.13,0,0,10.77,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.83,0,1.46,0,0,0,3.2,0,0,0,0,0,2.34
 48-58,0,0,0,0,0,0,0,0,0,0,1.27,0,3.26,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0.82,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.19,0,0,2.78,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
108-118,0,0,0,0,1.2,0,0,0,0,0,0,2.33,2.4,0,1.84,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0
