stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0
 14-21,0,0,5.83,0,0,0,0,0,0,0,0,3.07,0,0,0,0.95,0,0
 24-34,0,0,10.74,0,0,0,0,0,0,0,0,4.35,0.76,0,0,0,0,0
 36-46,0,0,58.04,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,316.78,0,0,0,0,0,4.96,0,0,16.8,0,0,1.29,0,0,0
 60-70,0,0.73,782.55,6.47,0,1.12,0,0,0,0,0,15.5,0,0,6.98,0,0,0
 72-82,0,0,573.83,0,0,1.34,0,0,0,0.74,0,19.95,0,0,0,2.37,0,3.74
 84-94,0,0.91,605.01,0,0,1.95,0.87,0,0,0,0.6,32.71,0,0,0,0,1.08,0
 96-106,0,0.56,368.96,0,1.02,0,0,0,0,2.71,0,7.71,0,0,0,0,1.15,0
108-118,0,0,274.5,0,0,0,0,0,0,10.15,0,13.9,0,0,0,0,0,0
120,0,0,261.05,0,3.99,0,0,5.97,0,3.68,0,20.04,0,0,0,0,0,0
