stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.67,152.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,0,100.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,102.83,4.5,0,0,12.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,10.34,0,0,18.06,0,0,0,0,0,0,0,0,0,0,0,0,48.4,0,0,0,30.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.73,0,3.17,0,0,0,1.3,0,0,0,0,0,1.2,0,0.87,39.59,0,0,0,0,0,0,8.89,0,2.8,13.46,0,0,0,0
 24-34,0,0,0,0.59,0.69,7.07,0,0,0,0,0,0,0,0,0,6.94,0,0,65.75,0,0,0,0,0,3.13,0,0,0.75,7.65,0,2.14,0,0
 36-46,0,0,0,2.21,0,10.51,0,0,0,0,0,0,1.63,0,0,11.22,0,0,47.83,0,0.56,0,0,0,0,0,0,0,8.71,0,1.23,0,0
 48-58,0,0,0,0,0,18.53,0,0,0,2.26,0,0,0,0,0,1.04,1.42,0.42,55.66,0,0,0,0,0,0,0,0,0,12.98,0,1.07,0,1.27
 60-70,0,0,0,1.45,0,19.88,0,0,0,9.99,0,0.9,0,0,0,26.5,0,0,49.48,0,0.72,0,0,0,0,0,0,0,3.34,0,0,0,0
 72-82,0,0,0,0,0,26.39,0.76,0,0,3.63,0.93,0,0,0,0,5.88,1.98,0.55,47.73,0,0,0,0,1.77,0,0,0,0,6.08,1.74,1.96,0,0
 84-94,0,0,0,1.58,1.71,9.25,0,0,0,0.7,1.12,0,0,0,0,11.18,3.53,0.96,19.17,0,0,0.81,0,0,2.19,0,0,0,2.94,0,8.39,0,0
 96-106,0,0,0,0,0,22.91,0,0,0,1.29,0,0,0.74,0,0,3.32,0,1.26,36.88,0,0,0,0,0,2.64,0,0,0,2.23,0,2.17,0.74,1.09
108-118,0,0,0,0.55,0,19.56,0,1.14,0.94,4.8,0,0,0,0,0,5.49,0.63,1.08,45.53,0,2.14,0,0,2.55,3.86,0,0,0,0,0,0.45,0,0
120,0,0,0,1.58,0,6.02,0,0,0,0,0,0,0,3.86,3.39,11.35,0,3.56,39.35,0,0,0,0,0,2.32,0,1.04,0,0,0,9.32,0,0
