stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,3.21,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.03,0,0,0,7.76,0,0,0,0,3.87,0,0,0,0,0,0
 14-21,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.97,2.89,0,0,0,0,0,0
 24-34,0,0,0.81,0.85,2.6,0,0,0,0,0,0,0,0,0,6.53,0,0,2.64,10.42,0,0,0,0,0,0,0.97,138.17,0,1.83,0,0,10.82,0,0
 36-46,0,0,0,7.31,32.03,0,0,0.73,0,0,0,0,0,0,0,5.28,0,0,44.21,0,0,0,0,0,2.25,0,501.26,0,10.02,0,0,0.81,0,0
 48-58,0,4.6,0,27,62.99,0,0,6.57,0,0.38,0,0,0,0,0,3.98,0.73,3.18,75.18,5.81,0,0,0,0,9.62,0,512.43,0,19.37,0,0,0.52,0,0
 60-70,0,2.48,0,35.7,58.79,0,0,6.39,0,2.87,0,0,0,0,0,2.59,0,17.37,74.26,0,1.03,0.76,3.24,0,4.27,0.97,268.96,0,0,0,4.67,14.9,0,0
 72-82,0,3.8,4.6,33.89,47.19,0,0.68,14.48,10.07,0,5.08,3.99,5.75,0,0,26.19,7.57,5.45,46.11,0,0,0,0,0,6.12,1.62,210.27,0,0,0,10.69,20.99,0.95,0
 84-94,0,0.65,9.72,43.12,76.81,0.6,3.71,6.53,3.91,0,4.82,12.53,2.87,0,1.35,30.28,3.93,15.34,47.92,0,0,1.22,0,0,1.2,1.18,327.74,0,7.28,0,11.83,9.51,1.52,5.94
 96-106,0,7.27,32.91,106.95,284.91,11.62,12.54,25.18,14.09,0.73,2.49,1.31,0,1.45,6.33,47.81,7.09,21.07,179.1,0,0.97,2.25,1.2,0,20.47,0,486.61,0,12.03,1.86,5.52,14.15,4.89,14.86
108-118,0,1.37,2.53,69.61,194.9,3.97,4.09,16.53,2.15,0,5.84,11.18,0,0,3.39,24.99,0,25.19,114.6,0.51,1.34,3.62,0,1.55,3.52,0,425.32,0,1.82,0,3.67,10.78,0.68,0.58
120,0,0,5.02,25.7,146.12,0,4.89,3.23,6.31,0,4.95,25.74,0,0,0,22.86,0,2.24,87.31,0,16.58,0,0,0,0,0,169.68,0,23.16,0,1.32,4.13,0,0
