stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,3.33,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.77,0,0,1.67,1.14,0,0,0.73,0,0,0,0,1.35,0,0,0
 36-46,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,3.48,0,0,0.51,0,0,24.69,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0.84,0
 60-70,0,0,0,0,0,0,0,11.29,34.7,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0
 72-82,0,20.98,0,18.01,0,6.51,0,50.94,14.83,0,2.49,0,1.78,0,0,20.99,0,0,0,0,2.26,0,0,0
 84-94,0,7.5,0,8.21,0.76,3.56,0,84.64,18.32,0,0,0,0.92,0,0.6,8.51,0,0,0,2.19,2.7,0,0,0
 96-106,0,33.27,2.67,10.08,0,1.93,3.04,317.65,26.14,0.73,0.59,0,5.39,0.66,0,63.32,0,0,0,5.87,6.09,0,0,0
108-118,0,14.93,5.44,2.79,0.72,8.77,1.72,466.78,11.54,0,0,9.16,10.15,0.63,0,60.93,0.45,0,0,0,0,0.54,0,1.95
120,2.37,24.6,1.68,0,0,16.84,0,526.04,20.59,0,0,4.16,36.68,0,9.87,110.73,0,2.15,0,2.35,0,0,0,0
