stage,blastomeres,erythrocytes,eye,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,pronephros,spinal.cord
  5-6,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.52,0,2.04,0,0,0,0,1.34,0.9,0,0,5.29,0
 24-34,0,0,0,0,0,0,0,0,2.72,0.78,2.99,0,52.54,7.47
 36-46,0,0,2.64,0,0,0,0,0,2.18,0,6.87,0,10.78,2.41
 48-58,0,0,3.95,2.08,0,0,0,0.59,3.84,0,13.15,0,16.17,1.57
 60-70,0,0,4.89,0,0,0,0,0,3.69,0,15.64,0,9.12,1.6
 72-82,0,0,3.37,0,2.31,0,0,0,5.11,0.54,18.97,0,11.94,0
 84-94,0,0,7.68,0,0.66,0,0,0,0,0,0.79,0,27.48,0
 96-106,0,0,5.76,0,7.1,0,5.58,0.6,4.33,0,3.46,0,14.82,0
108-118,0,0,4.3,0,12.24,0.89,0,0,0.54,0,7.56,1.23,9.53,0
120,0,0,12.72,0,16.54,0,0,0,0,0,2.48,0,13.5,0
