stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,162.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.22,179.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.03,0,0,0,0,0,5.75,0,0,0,0,0,0,0,109.31,3.65,0,0,37.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0,90,0,0,0,28.31,0,0,0,15.12,0,0,0,0,0,0
 14-21,0,0,2.8,0,0.81,0,0,0,0,1.08,0,0,0,0,0,0,0,1.85,1.24,0,0,0,0,0,13.21,2.13,0,2.92,0,0,0,0,0
 24-34,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0.64,0,1.37,0,1.71,3.05,0,0,0,0,0,24.1,0,0,6.43,0,0,0,0,0
 36-46,0,0,0.63,0,2.03,0,0,0,0,0,0,0.73,0,0,0,2.43,6.89,0,15.54,0,0,0,0,0,37.87,0,0,2.36,0,0.85,0,0,0
 48-58,0,0,0,0,2.37,0,0.89,0.44,0,0,0,1.55,0,0,0,14.52,3.81,3.57,18.12,0,0.5,0,0,2.42,10.82,0,0,4.76,0,4.98,0,0,0
 60-70,0,0,0,0,2.86,0,0,0,3.49,0,0,2.57,0,0,0,66.22,67.85,0,0,0,0,5.85,0,39.71,10.25,0,0,0,0,25.65,0,15.5,0
 72-82,0,0,0,0.59,7.07,0,0,0,2.31,0,0,4.09,0,0,0,33.1,93.17,7.09,50.81,0,0,2.83,0,94.58,9.96,0,0,5.04,0,70.96,6.65,73.95,0
 84-94,0,0,1.9,0,25.36,0,0,0,3.99,0,0,0,0,0.74,0,75.02,114.28,32.59,20.99,0,0,0.92,0,96.57,11.79,0,0,0.75,0,51.35,0,94.87,11.13
 96-106,0,0,5.01,0,26.41,0,0,0,10.87,0,0,12.65,2.51,0.74,8.31,105.49,55.72,9.45,63.04,0,0,0,0,194.76,4.19,0,0,0,2.08,99.51,4.11,152.09,0
108-118,0,0,1.35,0,9.2,0.76,0.43,1.72,0,0,0,6.47,0.83,1.59,0,73.33,243.06,22.26,121.76,0,0,0,0,196.03,9.9,0,0,0,0,43.86,0,157.42,1.16
120,0,0,7.89,0,22.59,0,0,3.94,4.02,0,0,1.91,0,1.36,0,86.7,114.37,22.29,22.47,0,2.34,0,0,121.68,2.47,0,0,0,0,34.15,0,110.47,0
