stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.02,0,0,0,0,0,0,0,0,0,0,0,19.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.3,251.77,1.85,0,2.82,0,80.69,0,0,20.63,2968.96,0,2.44,5.38,0,0,1.41,0,17.76,1.58,0,7.78,130.5,0,0,0,0.83,0,718.52,24.81,0,2.21,21.31,40.82,0,0,3.12,0,0
 24-34,0,0,0,1.72,1412.58,5.21,0,145.44,2.79,4420.63,2.53,27.23,26.61,5123.86,0.76,18.95,226.86,0,4.31,16.88,4.15,88.89,155.39,0,64.5,1912.16,31.26,31.47,23.06,0,0.99,14720.61,0,13.7,20.36,15.19,163.2,0,0,91.35,0,14.74
 36-46,0,0,0,0,1158.28,0.75,0,120.67,2.92,21683.91,20.92,39.01,98.26,3647.39,2.44,0,275.32,0.56,4.47,49.71,16.66,83.86,272.97,0,34.51,1809.28,8.59,31.85,6.83,0,0.77,35667.07,0,14.61,1.55,0,162.38,0,0,8.74,0,5.01
 48-58,0,0,0,0,1260.14,4.23,0,665.69,8.33,24229.43,297.39,125.92,60.41,3675.71,7.45,19.47,209.76,3.43,7.31,28.27,39.03,230.08,354.71,13.37,44.22,2222.57,41.56,43.72,6.39,0,1.57,47016.16,2.72,19.87,2.28,0,371.21,0,1.19,18.47,1.5,121.82
 60-70,2.42,0,0,1.36,1885.09,4.66,0,747.01,11.32,29138.21,72.73,89.06,137.43,610.56,0,0.8,381.23,3.52,8.69,73.8,7.55,173.79,367.93,3.68,30.27,1113.84,11.32,53.93,14.06,0,0,63528.6,0,20.27,0,0,203.69,120.62,1.19,31.24,0,84.55
 72-82,0,0,0.86,3.54,2052.16,69.37,0,855.69,33.73,19084.29,40.32,156,94.09,158.71,3.34,7.77,702.27,8.63,29.76,15.04,3.71,220.77,381.55,6.35,27.49,1348.88,1.61,80.38,13.61,0,0,50580.56,0,3.53,0,0,111.67,296.38,0,47.59,47.12,76.05
 84-94,0,0,1.15,26.39,3190.69,80.04,15.28,599.21,1.92,27566.07,6.22,158.3,1084.1,38.29,3.59,20.19,1058.84,6.4,8.76,10.45,11.82,307.8,957.58,11,22.12,1124.53,8.34,63.48,30.35,0,0.57,124865.65,0,9.46,24.79,0,71.1,895.56,4.17,37.39,3.8,29.82
 96-106,0,0,3.07,10.21,5930.82,205.15,20.07,789.39,9.55,21557.06,61.42,184.67,1597.74,13.5,7.12,33.26,1557.12,8.97,131.96,66.29,4.07,278.83,681.7,17.98,37.18,1803.68,1.32,356.12,19.6,0,8.8,72993.31,0,27.65,31.51,0,39,2019.3,6,70.04,16.49,87.14
108-118,0,0,7.48,49.95,8859.85,79.53,38.9,596.36,8.42,33232.89,58.05,187.23,3252.93,5.48,6.8,6.75,1998.52,48.87,128.32,58.35,9.1,418.41,1069.39,30.72,40.99,2093.45,7.94,167.74,21.17,0,18.7,98155.6,0,5.34,2.83,0,59.96,2603.26,10.47,50.76,29,55.37
120,2.37,0,0,11.49,8667.75,87.19,13.94,577.14,37.86,28047.44,16.91,351.24,1528.22,0,4.78,53.44,1756.85,10.87,120.1,75.51,0,431.37,753.47,46.09,131.96,2694.47,21.28,240.39,53.75,0,0,84659.04,0,13.02,20.22,0,47.66,1407.07,26.68,89.42,6.01,56.09
