stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.43,191.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0
  5-6,9.5,156.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,16.87,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,48.27,9.03,0,0,57.34,0,0,5.5,0,0,0,0,0,0,0
 10-12,0,11.18,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.55,6.95,0,0,40.93,0,0,5.55,0,0,0,0,0,0,0
 14-21,0,0,0,12.9,2.61,0,4.57,0,0,4.31,0,0,0,0,0,0,0.85,0,0,76.49,2.45,0,0,0,0,0,1.12,3.07,1.47,4.83,9.53,0,0,0
 24-34,0,0,0,2.25,0,0,9.46,0,0,0.9,0,0,0,0,1.59,0,8.85,0,0,137.2,8.1,0,0.61,0,0,0,0,0,0,0.72,6.66,0,1.94,0
 36-46,0,0,0,0,0,0,18.43,1.75,0,4.8,0,0,0,0,0,0,2.05,0.71,1.14,70.98,0,0,0,0,0,0.74,0.73,0,0,0,19.46,0,0,0
 48-58,0,0,0,2.51,0,0,10.6,0,0,4.45,0,0,0,0,0,1.3,7.29,0,4.59,29.6,0,0,0,0,0,0,0.84,0,0,0,11.35,0,1.65,0
 60-70,0,0,0,0.71,0,0,10.87,0,0,10.1,0,0,0,0,0.85,0,7.5,0,0,27.16,0,0,0,0,0,7.17,0,0,0,0,1.45,0,0,0
 72-82,0,0,0,2.34,1.75,0,3.94,0,0,6.26,0,0,4.09,0,0,6.91,5.56,0.88,0.68,35.2,0,0,0,0,0,0,0.56,0,0,0,0,0,2.83,0
 84-94,0,0,0,3.41,0.66,1.17,7.9,0,0,2.28,0.92,0,1.61,0,0,0.63,6.83,2.52,2.3,21.21,0,0,0,0,0,3.87,0,0,0,0,0,0,6.02,0.78
 96-106,0,0,0,3.84,0.91,0,4.82,0,1.53,14.73,0,1.98,9.4,0.63,0,0,3.85,1.11,0,12.97,0,0,0.71,0,0,20.33,0.85,0,0,0,0,0,3.15,0
108-118,0,0,0.74,3.22,0,0,6.38,0,0.89,11.73,0.67,2.06,6.65,0,0,0.84,10.3,1.21,1.03,16.44,0,1.01,0,0,0,15.03,2.06,0,0,0,0.62,1.11,6.99,0
120,0,0,0,6.15,0,0,17.7,1.13,0,2.07,0,0,34.69,2.26,0,0,10.85,0,7.12,25.3,0,0,2.92,0,17.39,68.26,0,0,0,0,0,0,7.98,0
