stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.4,0,4.88,0,0,0,0,0,0,0,0,60.72,0,0,0,0,0,0,0,0,0,0,0,0,12.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,31.01,0,0,0,0,0,0,0,0,14.97,0,0,0,0,0,0,0,0,0,0,0,23.98,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.06,14.66,0,3.2,0,0,0,0,3.82,0,0,0,0,0,0,2.98,0,2.31,0,0,1.88,18.35,3.88,0,0,0,0,0,4.39,0,0,64.64,7.29,0,0,0.98,0,0
 24-34,0,0,2.6,10.5,5.14,16.64,1285.63,0,1.23,0,0,0,0,0,1.26,0,0.66,1.33,1.95,14.22,0,1.66,50.09,269.8,8.58,2.02,3.79,0,0.99,19.75,0,0.7,2.73,183.15,33.85,0,0,82.93,0,10.11
 36-46,0,0,0.84,14.78,0.67,26.45,2297.35,1.24,0,5.66,0.66,0,1.32,5.61,0,0,0,2.06,8.22,21.8,0,0,54.44,231.95,0,0,10.45,0,0,12.52,0,1.25,4.71,1.93,42.69,0,0,18.7,0,4.32
 48-58,0,0,0,2.48,0.4,101.34,1626.98,0,1.58,15.96,0,3.33,0.63,0,0,0,0.45,0,0.53,28.27,0,2.34,79.88,312.17,0.55,0.93,1.99,0,0,28.15,0,0,34.65,0,54.65,0,0,16.66,0,20.83
 60-70,0,0,0,6.01,0,73.47,592.08,0,5.12,12.72,0,0,0,0,0,10.12,0,0,0,17.49,1.53,0,80.58,132.73,0,0,0,0,0,4.6,0,0.83,2.97,0,15.82,0,0,17.74,0,0
 72-82,0,0,0,0,0,18.68,182.71,0,2.6,5.81,1.74,0,0,0,0,0,0,0,0,18.45,0,0,36.51,69.38,0,0,7.98,0,0,3.99,0,0,26.07,0,10.47,0,0,9.05,0,0
 84-94,0,0,0,0,4.47,79.51,591.32,0,0,15.32,1.5,0,4.75,2.13,0,0,0,2.58,0,19.49,0,0,28.78,73.11,0,0,19.46,0,0,12.84,0,1.6,35.52,0,11.15,0.66,0,24.71,0,14.11
 96-106,0,0,0.67,8.29,36.34,90.79,395.1,2.37,1.53,10.22,3.21,0,1.3,2.41,0,11.24,0.78,11.68,0,25.52,0,0,50.64,97.97,0,0,13.04,0,0,14.14,0,1.9,133.64,0,0,1.02,1.08,39.31,2.22,32.77
108-118,0,0,0,6.35,0.85,65.21,468.44,1.76,1.99,14.4,5.79,0,0,0,0,4.86,0,0,0,25.09,2.55,0,15.19,62.8,0,0,5.48,0,6.26,5.68,0,0,107.89,0,4.38,0,2.33,16.32,0.57,0.51
120,0,0,1.28,1.43,0,37.42,163.36,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,27.37,19.22,0,1.15,5.58,0,0,0,4.48,0,42.54,0,1.7,0,0,16.43,0,11.4
