stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,30546.83,316703.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824.18,0,0,0,0,0,0,0,0,0
  5-6,44584.6,424933.72,0,1365.54,0,0,0,0,0,0,0,1525.92,0,0,0,0,0,0,0,0,29742.23,1379.75,0,0,9920.53,3934.42,0,0,0,0,0,0,0,0,0
  7-9,3991.51,3585.37,0,14085.88,0,0,0,415.98,0,0,0,7497.62,0,0,0,0,0,0,0,0,37218.95,3336.11,0,0,143341.33,54.85,1565.07,0,125.16,0,0,0,0,0,0
 10-12,28.25,1463.02,0,3096.04,0,33.58,0,186.32,0,0,0,1398.15,0,0,0,0,3.73,0,0,0,5548.32,305.24,0,0,58838.62,0,291.91,48.49,2339.95,0,160.15,10.64,0,0,0
 14-21,0,17.42,0,0,16.63,120.78,0,1.04,0,3.86,0.87,4.53,0,0,0,0,0,15.8,0,17.33,176.83,6.65,0,0,921.64,8.83,7.62,5456.07,0,18.88,1132.05,59.77,0,0,0
 24-34,0,0,0,0,3.44,1.09,0,1.3,1.53,1.24,0,0,0.75,0,0,0,0,2.56,0,2.88,143.32,3.44,0,0,0,11.11,0,2.33,0,0,359.73,139.48,0,1.93,0
 36-46,0,0,0,0,15.84,0,0,3.13,2.97,2.63,0,0,0,0,0.57,0.61,0,14.44,0,2.71,157.59,0,0,0,0,0.87,0,0,0,0,0.83,62.29,0,0.6,0
 48-58,0.58,0,0,0,0,0,0,15.04,0,9.92,0,0,0,0,0,0,0,8.09,0,0.4,85.99,0,1.16,0.4,0,0,0,0,0,0,0,21.54,0,1.57,0
 60-70,0,0,0,0,2.19,0,0,40.93,3.75,3.96,0,0,0,0,0,0,0,6.17,0,0,132.59,0.64,0,0,0,1.33,0,0,0,0,0,21.04,0,0,0
 72-82,0,0,0,0,0,0,0,12.32,0,0.59,0,0,0,0,0,1.2,0,4.26,0,0,34.88,0,0,0,0,5.57,0,0,0,0,0,15.84,0,0,0.76
 84-94,0,0,0,0,1.84,0,0,30.6,2.2,0,0,0,0,0,0,0.9,0,2.97,0,0,42.01,0,0,1.05,0,0,0,0,0,0,0,14.36,0,0,0
 96-106,0,0,0,0,2.25,0,0,30.04,0,2.92,0,0,0,0.65,0.99,0,0,11.65,1.69,0.85,32.58,2.22,0,0,0,0,0,0,0,0,0,14.84,0,0,0
108-118,0,0,1.13,0,4.73,0,0,30.58,0,4.52,0,0,0,1.5,0,0.92,0,8.17,0,0,21.64,0,0,0,0,2.01,0,0,0,0,0,0,3.18,0,0
120,0,0,0,0,6.25,17.95,15.5,6.04,0,0,0,0,0,0,0,0,0,0,0,0,81.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
