stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.11,61.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.17,0,0,0,0,0,0,0,0
  5-6,0,19.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,223.09,0,0,0,0,0,0,0,0
  7-9,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,5.59,129.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,5.47,51.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.19,30.82,0.88,0.81,0,0,0,1.61,0,0,0,0,0,0,0.86,0,2.87,0,3.07,16.52,0,0,0,0,467.07,1,0.96,12.31,0,0,0,0,0
 24-34,0,0,0,0,22.4,0.89,0,0.91,0,0,0,0,0,0,0.99,0,0,0,0,2.65,0,3.92,37.1,0,1.68,0,0,366.66,0,0,12.09,0,0,2.01,0,0
 36-46,0,0,1.72,0,7.68,0.81,12.49,0,1.35,0,0,0,0,0,0,0,0,0,2.44,4.07,0,0,42.55,0,0,0,0,410.26,0,0,8.44,0,0,0,0,0
 48-58,0,0,0,0,10.62,0,5.78,0,3.65,0.67,1.58,0,0,0,6.53,0,0,0,0.74,0,0,2.14,33.74,0,2.07,0,0,197.26,0,0,9.43,0,0,0.74,0,2.17
 60-70,0,0,0,0,24.93,4.83,17.66,0,2.41,0,0.64,0,1.71,1.43,0.62,0,0,0,2.88,2.63,0,0,18.39,0,2.19,0,0,314.47,0,0,3.15,0,0,0,0,0
 72-82,0,0,0,0,33.94,0,4.68,0,2.17,0,1.78,0,0,0,2.13,0,0,0,1.34,0,0.9,0.54,17.67,0,6.01,0,0,205.23,0,0,1.97,0,0,0,0,0
 84-94,0,0,0,0,93.59,0,13.63,0,8.53,0,0,0,0,0,7.73,0,0,0.57,2.57,4.75,1.94,0,31.11,0.79,0,0,0,581.75,0,0,0,0.57,0,0,0,0
 96-106,0,0,0,0,121.61,0,5.9,0,16.76,0,7.57,0.56,0,5.28,14.16,0,0.65,8.82,4.89,2.1,6.39,0,44.16,0,2.35,0.65,0,528.72,0,0,0,2.4,0,0,1.08,0
108-118,0,0,0,0,101.62,0,10.27,0,11.59,0,4.58,2.07,0,0,10.01,1.25,0,0,10.28,3.33,2.11,0,38.67,0,2.18,1.07,0,399.66,0,0,1.98,0,4.39,1.85,0,0
120,0,0,0,0,74.46,0,2.87,0,13.51,0,8.16,3.28,0,0,14.89,0,0,0,0,3.24,0,0,38.23,0,0,1.16,0,399.63,0,0,0,1.2,0,0,0,0
