stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,58.92,1481.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.45,0,0,0,0,0,0
  5-6,32.39,1208.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.19,63.29,88.51,0,0,330.52,0,0,0,65.68,0,0,0,0,0,0,1652.81,33.46,0,430.59,0,0,0,0,0,0,0
 10-12,0,57.89,201.49,0,27.65,83.88,0,0,0,9.2,0,0,0,0,0,0,1058.16,17.44,0,1406.9,0,0,31.87,0,0,0,0
 14-21,0,0,0,11.13,1.81,1.43,0,0,0,0,0,0.86,8.64,0,0,2.72,51.63,1.42,0,3.73,0,35.83,0,7.28,12.98,0,0
 24-34,0,0,0.77,7.5,0,0,0,3.83,0,0,0,0,48.83,0,0,10.29,113.35,0,0,0,0,0,0,4.72,15.82,0,7.2
 36-46,0,0,0,7.96,0,0,0.74,20.95,5.55,0,0,0,40.46,0,0,7.81,108.46,0,0,0,0.89,0,0,0,13.91,0,0.65
 48-58,0,0,0,2.13,0,6.92,0,7.89,27.56,0,0,0,43.9,0,0,1.4,53.89,0,0,0,0,0,0,0,11.56,0,0.55
 60-70,0,0,0,2.22,0,5.81,0,4.41,28.56,0,0,0,61.89,0,0,1.47,13.1,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.71,0,3.83,0,11.77,70.04,0,0,0,121,0,1.17,0,16.4,0.52,0.86,0,0,0,0,0,2.3,0,1.69
 84-94,0,0,0,4.37,0,3.02,0,10.62,34.82,0,0,0,36.21,0,0,1.23,3.96,0,0.79,0,0,0,0,0,0,0.71,0
 96-106,0,0,0,3.79,0,1.5,0,20.36,11.71,0,0,0,54.54,0,0,0,0,0.62,0.6,0,0,0,0,0,1.5,0.67,0
108-118,0,0,0,0,0,2.68,0,3.89,15.45,0,0,0,43.33,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,10.61,0,0,11.42,0,1.91,0,22.38,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0
