stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,neural,olfactory,otic,spinal_cord
 14-21,0,0,0,0,0,0,0,10.13,0,0,0
 24-34,0,0,2.15,0,0.99,0,0,189.14,0.77,0,28.39
 36-46,0.62,0,29.11,0,69.05,0.57,0,547.98,0,0,109.64
 48-58,0,0,35.33,0,89.7,1.58,1.25,293.59,0,0,102.23
 60-70,0.72,0,19.45,0,38.93,0.71,0,152.87,0,0,30.18
 72-82,0,0,15.62,0,21.44,2.32,0,52.1,1.18,0,11.1
 84-94,0,0,20.04,1.9,15.41,0,0,55.78,0,0,8.37
 96-106,0,0,13.81,0,29.88,0.58,0,41.7,0,0.98,0.68
108-118,0,0.89,8.36,0,19.13,0,0,45.25,0,0.54,0
120,0,0,8.57,0,43.95,0,0,18.56,0,16.84,0
